index,year,month,page,content,html_tag
46,1985,feb,2,"This life, no matter how long, passes like the blink of an eye 
              (16:77).",p
47,1985,feb,2,"When God loves someone, He may afflict him or her with a temporary 
              problem just to get his or her attention. This is what Qur’an 
              teaches in Sura 6, Verse 42 and in 7:94.",p
48,1985,feb,2,"Incarceration may be God’s way of blessing you, and getting 
              your attention. It means that God cares about you. 
              If you respond positively to God’s care, and decide to join 
              His kingdom, then he makes it up to you manyfold. He will appoint 
              you a King on Earth. This is God’s inviolable 
              promise as we see in Qur’an 24:55.",p
49,1985,feb,2,"There is one important catch: you must ",p
50,1985,feb,2,"be absolutely positive that you have found 
              the pure Islam, not the Islam that is distorted by traditions and 
              superstitions.",p
51,1985,feb,2,More details in this in future issues In Shaa Allah.,p
52,1985,feb,2,"************************** ",p
53,1985,feb,2,Dear Muslim Prisoner :,p
54,1985,feb,2,"Assalamu Alaikum ",p
55,1985,feb,2,"We want to hear from you. 
            Please write to us, and keep us informed about the Muslim community 
              in your institution.",p
56,1985,feb,2,"We will publish the news of our Muslim brothers who are incarcerated. 
              If you wish to stay anonymous, let us know.",p
57,1985,feb,2,"We are interested in all kind of news: who is where, who is transferred, 
              to where, who is new, and who is leaving. Let us know how much time 
              is left to freedom, and we will start a countdown for you.",p
58,1985,feb,2,"Let us know what you need, and what we can do to help you.",p
59,1985,feb,2,We will be glad to answer any question you have.,p
60,1985,feb,2,"The ",strong
61,1985,feb,2,Miracle of Quran,strong
62,1985,feb,2,Miracle of Quran,strong
63,1985,feb,2,zero,strong
64,1985,feb,2,zero,strong
65,1985,feb,2,cares,strong
66,1985,feb,2,King on Earth,strong
67,1985,feb,2,In Shaa Allah,strong
68,1985,feb,3,"February 1985: Page 1, 
              2, 3",p
69,1985,feb,3,"Submitters 
              Perspective",p
70,1985,feb,3,Page 3,p
71,1985,feb,3,Continued from Page 1,p
72,1985,feb,3,"You disregarded them. 
              Consequently, you are now disregarded.’ We thus punish whoever 
              transgresses, and refuses to believe the revelations of his Lord. 
              Additionally, the retribution in the Hereafter is far worse and 
              everlasting."" (20:124-127)",p
73,1985,feb,3,"""Whoever obeys the messenger is obeying GOD. 
              As for those who turn away, we did not send you to be their guardian."" 
              (4:80)",p
74,1985,feb,3,"""Anyone who opposes the messenger, after guidance 
              had been pointed out for him, and follows other than the path of 
              believers, we direct him in the direction he chose. He ends up in 
              Hell; a miserable destiny."" (4:115)",p
75,1985,feb,3,"If we can rid our minds of the traditions, innovations, superstitions, 
              and inherited ideas that were injected into our religion, and return 
              to God and His messenger, we would realize that the present decline 
              of the Muslim Ummah is the direct result of disobeying the Prophet. 
            ",p
76,1985,feb,3,"What helped Satan in misleading the Muslims is that the blatant 
              disobedience of ",p
77,1985,feb,3,"the Prophet takes the shape of loving 
              the Prophet very much. As a rule, anything that exceeds 
              its limits, becomes the exact opposite. When love exceeds the limits, 
              it becomes hatred. Our love of the Prophet has exceeded the limits, 
              until it turned into real hatred in the form of love. This is of 
              course what Satan did to the Christians; they love Jesus so much 
              that he disowns them on the Day of Judgment (5:117) and the Gospel 
              of Mathews 7:21-23).",p
78,1985,feb,3,"One of the most flagrant examples of our excessive love of the 
              Prophet …. which turned into direct disobedience …. 
              can be illustrated by studying Verse 285 of Sura 2.",p
79,1985,feb,3,"Before I cite this verse, I wish to remind the reader that these 
              words came out of the Prophet’s mouth.",p
80,1985,feb,3,"""The messenger believes in what was sent down 
              to him from his Lord, and so do the believers. All of them believe 
              in GOD, and His angels, and His scriptures, and His messengers; 
              ‘We do not ",p
81,1985,feb,3,"make any distinction 
              among His messengers,’ and they say , ‘We hear and we 
              obey. Forgive us, our Lord. To You is our ultimate return.’""",p
82,1985,feb,3,,p
83,1985,feb,3,Is this what the Muslims say or do today?,p
84,1985,feb,3,"Do the Muslims obey this powerful injunction that ""We 
              shall not make any distinction among God’s messengers"" 
              and that ""We hear and we obey""?",p
85,1985,feb,3,Do the Muslims obey God and His messenger?,p
86,1985,feb,3,"<To be continued in the next 
              issue In Shaa Allah> ",p
87,1985,feb,3,"'-----------------------
            ",p
88,1985,feb,3,,p
89,1985,feb,3,COMING IN THE NEXT ISSUE……,h3
90,1985,feb,3," The Muslim Woman ",li
91,1985,feb,3," The Muslim Child ",li
92,1985,feb,3," Letters To The Editor ",li
93,1985,feb,3," International Muslim News",li
94,1985,feb,3,"  And Much, Much More
                 ",li
95,1985,feb,3,"loving 
              the Prophet very much",strong
96,1985,feb,3,"We 
              shall not make any distinction among God’s messengers",strong
97,1985,feb,3,We hear and we obey,strong
98,1985,feb,3,In Shaa Allah,strong
99,1985,feb,3,"The Muslim Woman ",strong
100,1985,feb,3,"The Muslim Child ",strong
101,1985,feb,3,"Letters To The Editor ",strong
102,1985,feb,3,International Muslim News,strong
103,1985,feb,3," And Much, Much More
                ",strong
104,1985,mar,1,"March 1985: Page 1, 
              2, 3, 4",p
105,1985,mar,1,"Masjid 
              Tucson",p
106,1985,mar,1,Page 1,p
107,1985,mar,1," 
	In the name of God, Most Gracious, Most Merciful
	",p
108,1985,mar,1,Muslim Perspective,p
109,1985,mar,1,"Proclaiming 
                    the only religion acceptable to God",p
110,1985,mar,1,"[No 
                    2]",p
111,1985,mar,1,Jumada II 1405,p
112,1985,mar,1,"During the past 14 centuries traditions, customs, superstitions, and 
        innovations have crept into Islam. Gradually, these distortions came to 
        be vested with such religious solemnity that anyone who questions them 
        finds himself regarded as the dangerous innovator and 
        heretic. Islam today is like a precious jewel that is buried under piles 
        upon piles of man-made innovations. Our aim is to eliminate all distortions 
        and present the jewel of Islam to the world.",p
113,1985,mar,1,,p
114,1985,mar,1,"“Surely, we have sent down this message, and surely, 
        we will preserve it"" (15:9)*",p
115,1985,mar,1,"The oldest translation of the Torah I could 
        find was copyrighted in 1917 by the Jewish Publications Society of America. 
        Its title is THE HOLY SCRIPTURES according to the Masoretic 
        Text, A New Translation with the Aid of Previous Versions, and With Constant 
        Consultation of Jewish Authorities.",p
116,1985,mar,1,Continued on page 2,p
117,1985,mar,1,WHO ARE WE?,u
118,1985,mar,1,The Computer Exposes An Historical Crime,h3
119,1985,mar,1,"An Invitation To All Muslims To Examine The Evidence
        Before Removing The Falsehood",h3
120,1985,mar,1,himself,strong
121,1985,mar,1,"An Invitation To All Muslims To Examine The Evidence
        Before Removing The Falsehood",strong
122,1985,mar,1,THE HOLY SCRIPTURES,strong
123,1985,mar,2,"March 1985: Page 1, 
              2, 3, 4",p
124,1985,mar,2,"Submitters 
              Perspective",p
125,1985,mar,2,Page 2,p
126,1985,mar,2,Continued from page 1,p
127,1985,mar,2,Genesis 16:15-16 of this translation states:,p
128,1985,mar,2,"And Hagar bore Abram a son; and Abram called the 
              name of his son, whom Hagar bore, Ishmael. And Abram was foursome 
              and six (86) years old when Hagar bore Ishmael to Abram.",p
129,1985,mar,2,And Genesis 21:5 states:,p
130,1985,mar,2,"And Abraham was a hundred years old, when his son 
              Isaac was born unto him. ",p
131,1985,mar,2,"This means that Ishmael was 14 years old when his brother Isaac 
              was born. In other words, Ishmael was Abraham’s only son for 
              14 years. Yet, Genesis 22:1-2 of this translation states:",p
132,1985,mar,2,"And it came to pass after these things that God did 
              prove Abraham, and said unto him: ‘Abraham’; and he 
              said: ‘Here am I.’ And He said: ‘Take now thy 
              son, thine only son, whom thou lovest, even 
              Isaac, and get thee into the land of Moriah; and offer 
              him there for a burnt offering upon one of the mountains which I 
              will tell thee of.",p
133,1985,mar,2,"The tampering is so obvious that subsequent translators tried to 
              get around it by injecting their own version. In another very old 
              (undated) translation, I found the following version of the same 
              verses. This translation is titled: TWENTY FOUR BOOKS OF 
              THE HOLY SCRIPTURES, translated by Isaac Leeser. In this 
              translation, Genesis 16:15-16 states:",p
134,1985,mar,2,"And Hagar bore abram a 
              son: and Abram called the name of his son, whom Hagar bore, Ishmael. 
              And Abram was eighty and six years old when Hagar bore Ishmael to 
              Abram.",p
135,1985,mar,2,Genesis 21:5 states:,p
136,1985,mar,2,"And Abraham was a hundred years old, when his son 
              Isaac was born unto him.",p
137,1985,mar,2,Then Genesis 22:1-2 states:,p
138,1985,mar,2,"And it came to pass after these things, that God 
              did tempt Abraham, and he said unto him, Abraham, and he said, Behold, 
              here am I. And he said, Take now thy son, thy only one, 
              who thou lovest, even Isaac, and get thee into 
              the land of Moriah; and offer him there for a burnt-offering upon 
              one of the mountains which I tell thee of.",p
139,1985,mar,2,"The compounding of both errors is evident in the recent translations 
              of the Torah. I looked up a translation copyrighted in 1962 by the 
              Jewish Publication Society of America, Philadelphia, titled: THE 
              TORAH, the Five Books of Moses, a new translation of THE HOLY SCRIPTURES 
              according to the Masoretic text.",p
140,1985,mar,2,"In this translation, Gensis 16:15-16 states:",p
141,1985,mar,2,"And Hagar bore a son to Abram, and Abram gave the 
              son that Hagar bore him the name Ishmael. Abram was eighty-six years 
              old when Hagar bore Ishmael to Abram.",p
142,1985,mar,2,And Genesis 21:5 states:,p
143,1985,mar,2,"Now Abraham was a hundred years old when his son 
              Isaac was born to him.",p
144,1985,mar,2,While Genesis 22:1-2 now reads:,p
145,1985,mar,2,"Some time afterward, God 
              put Abraham to the test. He said to him, ""Abraham,"" and 
              he answered, ""Here I am."" And He said, ""Take your 
              son, your favored one, Isaac, whom you love, and 
              go to the land of Moriah, and offer him there as a burnt offering 
              on one of the heights which I will point out to you.""",p
146,1985,mar,2,"There is no doubt that Abraham, Isaac, and Ishmael, had they been 
              alive today would have been appalled by this blasphemy.",p
147,1985,mar,2,"Unfortunately, the same crime has been committed against the Qur’an. 
              However, because Qur’an is God’s final message to the 
              world, and because the Qur’an’s integrity is guaranteed 
              forever by God, this blatant tampering with the Qur’an has 
              now been exposed. Such exposure guarantees the continued 
              purity of Qur’an.",p
148,1985,mar,2,"Before presenting the physical evidence, it should be pointed out 
              that the last two verses of Sura 9 have always been suspect. All 
              classic and modern references dealing with the collection and recording 
              of the original Qur’an have UNANIMOUSLY agreed that these 
              two verses ARE THE ONLY VERSES IN QUR’AN THAT FAILED TO MEET 
              THE CRITERIA SET BY ABU BAKR, OMAR AND ZEID IBN THABET (the original 
              collectors of Qur’an). According to these references, 
              the last two verses of Sura 9 were never confirmed by the criterion 
              of SOURCE MULTIPLICITY. Among the outstanding references 
              that expose this serious discrepancy are:",p
149,1985,mar,2,Continued on page 3,p
150,1985,mar,2,Dear Reader: Assalamu Alaikum.,p
151,1985,mar,2,"Due to the historical bulletin presented in this special issue 
              of MP, all other departments and continuations will resume their 
              regular appearance as of the next issue IN SHAA ALLAH. ",p
152,1985,mar,2,thine only son,strong
153,1985,mar,2,"even 
              Isaac",strong
154,1985,mar,2,"TWENTY FOUR BOOKS OF 
              THE HOLY SCRIPTURES, translated by Isaac Leeser",strong
155,1985,mar,2,thy only one,strong
156,1985,mar,2,even Isaac,strong
157,1985,mar,2,"THE 
              TORAH, the Five Books of Moses, a new translation of THE HOLY SCRIPTURES 
              according to the Masoretic text.",strong
158,1985,mar,2,"your favored one, Isaac",strong
159,1985,mar,2,"Such exposure guarantees the continued 
              purity of Qur’an.",strong
160,1985,mar,2,"All 
              classic and modern references dealing with the collection and recording 
              of the original Qur’an have UNANIMOUSLY agreed that these 
              two verses ARE THE ONLY VERSES IN QUR’AN THAT FAILED TO MEET 
              THE CRITERIA SET BY ABU BAKR, OMAR AND ZEID IBN THABET (the original 
              collectors of Qur’an)",strong
161,1985,mar,2,SOURCE MULTIPLICITY,strong
162,1985,mar,3,"March 1985: Page 1, 
              2, 3, 4",p
163,1985,mar,3,"Submitters 
              Perspective",p
164,1985,mar,3,Page 3,p
165,1985,mar,3,Continued from page 2,p
166,1985,mar,3,"(1) AL BUKHARY, Vol 6, pp 89-90 and 225-226. (Dar 
              Al-Turath Al-Araby)",p
167,1985,mar,3,"(2) AL MUTAKHAB MIN AL SUNNAH, Supreme Council of Islamic 
              Affairs, Cairo, Egypt, pp 178-182.",p
168,1985,mar,3,"(3) Imam Ismail Ibn Katheer’s AFDAAL AL-QUR’AN 
              AL-KAREEM.",p
169,1985,mar,3,(4) Muhammad Husain Haykal’s AL-SIDDIQ ABU BAKR.,p
170,1985,mar,3,(5) AL-Suyooty’s AL-ITQAN FI ‘ULOOM AL-QUR’AN.,p
171,1985,mar,3,"Sahih Bukhari gives three different accounts regarding this subject, 
              and Al-Muntakhab gives two different accounts. As mentioned above, 
              all accounts, in the various references agree that THE LAST 
              TWO VERSES OF SURA 9 ARE THE ONLY VERSES IN QUR’AN THAT 
              FAILED TO CONFORM TO THE RECORDING CRITERIA, specifically the 
              criterion of source multiplicity. One wonders why were 
              these two verses included in Qur’an in the first place!!!",p
172,1985,mar,3,"The multiplicity of sources for every single verse in Qur’an 
              was a vital criterion, since it confirms the authenticity of every 
              verse.",p
173,1985,mar,3,"The Almighty Creator informed us that the Qur’an contains 
              a certain secret that, in time, will prove that Qur’an is 
              God’s final message to the world.",p
174,1985,mar,3,"The disbelievers said, ""This (Qur’an) 
              is no more than a fraud fabricated by (Muhammad), ",p
175,1985,mar,3,"with the help of some 
              others."" Indeed, they have committed a blasphemy and a falsehood. 
            ",p
176,1985,mar,3,"Others said, ""(This Quran) is tales from the 
              past that he (Muhammad) had made up; they were dictated to him day 
              and night.""",p
177,1985,mar,3,"Say, ""It was sent down by the one who 
              knows THE SECRET in the heaven and the earth."" Indeed, 
              He is the Forgiver, the Merciful.
              (Qur’an 25:4-6)",p
178,1985,mar,3,"Furthermore, the Qur’an states that this miraculous SECRET 
              which is destined to prove the Qur’an’s authenticity 
              shall be unveiled at a future time, not during the lifetime of 
              the Prophet.",p
179,1985,mar,3,"They say, ""How come no miracle has come down 
              to him from his Lord?"" Say, ""The future belongs to God, 
              so wait and I will wait along with you.""
              (Quran 10:20)",p
180,1985,mar,3,"That the number 19 shall play a role in proving the Qur’an’s 
              authenticity is stated in Qur’an 74:25-35. These verses state 
              that anyone who declares that Qur’an is human-made (74:25) 
              shall be proven wrong by means of the number 19 (74:30).",p
181,1985,mar,3,"During the last 17 years (1968-1985), intensive research into the 
              Qur’an with the use of computers has produced startling results, 
              and an overwhelming proof of authenticity. In full agreement with 
              Quran (74:25-35), the number 19 has provided the irrefutable evidence. 
              Details of this work have been published in the following books:",p
182,1985,mar,3,(1) Qur’an: The Final Scripture.,p
183,1985,mar,3,(2) The Computer Speaks: God’s Message to the World.,p
184,1985,mar,3,"(3) Qur’an: Visual Presentation 
              of the Miracle.",p
185,1985,mar,3,"(4) The Glorious Qur’an, Volume 1.",p
186,1985,mar,3,"All published by ISLAMIC PRODUCTIONS, 739 E 6th St, Tucson, AZ 
              85719, USA.",p
187,1985,mar,3,"In addition to the list of SIMPLE FACTS where 
              the number 19 is the common denominator, the most powerful physical 
              facts are in the famous mysterious letters of Qur’an which 
              prefix 29 suras. These letters occur in their respective suras ALWAYS 
              IN MULTIPLES OF 19. One has to study the details in 
              the references listed above in order to fully appreciate this awesome 
              Qur’anic miracle.",p
188,1985,mar,3,"What concerns us in this Bulletin is the prominent physical fact 
              that the opening verse of Quran (BISMILLAH) consists of 19 letters, 
              and every word in it is mentioned throughout Qur’an a number 
              of time which is CONSISTENTLY A MULTIPLE OF 19. 
              Thus, the first word (Ism = Name) is found in Qur’an exactly 
              19 times, the second word (Allah = God) is mentioned 2698 times 
              (19 x 142), the third word (Rahman = Gracious) is mentioned 57 times 
              (19 x 3), and the last word (Rahim = Merciful) is mentioned 114 
              times (19 x 6), plus one time that refers specifically to the Prophet 
              and is not an attribute of God.",p
189,1985,mar,3,"During the last three years an extensive study was undertaken to 
              examine the mathematical miracle of Qur’an at the word for 
              word level. The objective was to confirm that the computers 
              did not err, and that the results do conform to the Qur’an 
              as it was originally recorded during the Prophet’s lifetime, 
              and subsequently collected by Zeid Ibn Thabet upon ",p
190,1985,mar,3,Continued on page 4,p
191,1985,mar,3,". . . FOR THE SAKE OF GOD . . . FOR THE SAKE OF QUR’AN . 
              . . LET US SET ASIDE OUR DIFFERENCES AND FEUDS AND SIT DOWN TOGETHER 
              TO ANALYZE THE PROBLEM, AND RID THE QUR’AN OF ANY BLASPHEMY.",p
192,1985,mar,3,"THE ONLY VERSES IN QUR’AN THAT 
              FAILED TO CONFORM TO THE RECORDING CRITERIA",u
193,1985,mar,3,THE PHYSICAL EVIDENCE,u
194,1985,mar,3,"at a future time, not during the lifetime of 
              the Prophet",u
195,1985,mar,3,"ALWAYS 
              IN MULTIPLES OF 19",u
196,1985,mar,3,CONSISTENTLY A MULTIPLE OF 19,u
197,1985,mar,3,THE PHYSICAL EVIDENCE,h3
198,1985,mar,3,"AL BUKHARY, Vol 6, pp 89-90 and 225-226",strong
199,1985,mar,3,"AL MUTAKHAB MIN AL SUNNAH, Supreme Council of Islamic 
              Affairs, Cairo, Egypt, pp 178-182",strong
200,1985,mar,3,"Imam Ismail Ibn Katheer’s AFDAAL AL-QUR’AN 
              AL-KAREEM",strong
201,1985,mar,3,Muhammad Husain Haykal’s AL-SIDDIQ ABU BAKR,strong
202,1985,mar,3," AL-Suyooty’s AL-ITQAN FI ‘ULOOM AL-QUR’AN",strong
203,1985,mar,3,"THE LAST 
              TWO VERSES OF SURA 9 ARE THE ONLY VERSES IN QUR’AN THAT 
              FAILED TO CONFORM TO THE RECORDING CRITERIA, specifically the 
              criterion of source multiplicity",strong
204,1985,mar,3,"It was sent down by the one who 
              knows THE SECRET in the heaven and the earth",strong
205,1985,mar,3,wait and I will wait along with you,strong
206,1985,mar,3,Qur’an: The Final Scripture,strong
207,1985,mar,3,The Computer Speaks: God’s Message to the World,strong
208,1985,mar,3,"Qur’an: Visual Presentation 
              of the Miracle",strong
209,1985,mar,3,"The Glorious Qur’an, Volume 1",strong
210,1985,mar,3,SIMPLE FACTS,strong
211,1985,mar,3,"ALWAYS 
              IN MULTIPLES OF 19",strong
212,1985,mar,3,CONSISTENTLY A MULTIPLE OF 19,strong
213,1985,mar,3,"to confirm that the computers 
              did not err",strong
214,1985,mar,4,"March 1985: Page 1, 
              2, 3, 4",p
215,1985,mar,4,"Submitters 
              Perspective",p
216,1985,mar,4,Page 4,p
217,1985,mar,4,MASJID TUCSON United Submitters International,p
218,1985,mar,4,PO Box 43476 Tucson AZ 85733-3476 USA,p
219,1985,mar,4,Tel/Fax: (520) 323 7636,p
220,1985,mar,4,Masjid Tucson site: http://www.masjidtucson.org,p
221,1985,mar,4,Masjid Tucson e-mail: info@masjidtucson.org,p
222,1985,mar,4,"Happiness is 
              Submission to God Alone",p
223,1985,mar,4,ISSN 1089-053X,p
224,1985,mar,4,"Keep up with history in the making. Subscribe 
              now. 
              $12/yr. U.S., Canada and Mexico, $19/yr. overseas.",p
225,1985,mar,4,Continued from page 3,p
226,1985,mar,4,"request of Abu Bakr and Omar, then reproduced by Uthman Ibn Affan.",p
227,1985,mar,4,"It is the result of this vast review of the computer data that unveiled 
        the shocking crime of tampering with the Qur’an.",p
228,1985,mar,4,"Nine violations of the Qur’an’s mathematical code were discovered 
        by the time the review of data was completed. ALL NINE VIOLATIONS 
        HAVE BEEN FOUND IN ",p
229,1985,mar,4,"THE LAST TWO VERSES OF SURA 9. (See 
        the table at the end of this article).",p
230,1985,mar,4,"It must be pointed out once more, that the LAST TWO VERSES OF 
        SURA 9 WERE FINGERED AS FAILING TO CONFORM TO THE ESTABLISHED CRITERIA 
        FOR COLLECTION AND RECORDING OF QUR’AN. This was done 1400 years 
        before I was born.",p
231,1985,mar,4,"Most probably, these two verses were injected into the Qur’an by 
        the Prophet’s idolizers much later than Abu Bakr, Omar, and Zeid. 
        The story was then invented by the guilty, in ",p
232,1985,mar,4,"order to justify and support such tampering, 
        and to blame the existence of these two alien verses on such great authorities 
        as Abu Bakr, Omar, and Zeid.",p
233,1985,mar,4,"It is noreworthy that Sura 9 is the ONLY SURA IN QUR’AN 
        THAT DOES NOT OPEN WITH ""THE NAME OF GOD."" God’s 
        advance knowledge and disapproval of the aforementioned blasphemy is manifested 
        in the fact that the BISMILLAH is omitted. Such tampering could never 
        be ""In the Name of God.""",p
234,1985,mar,4,"(Rashad Khalifa) ",p
235,1985,mar,4,"Frequency in Qur’an 
              Without Removal of 9:128 and 129",p
236,1985,mar,4,FOR YOUR INFORMATION,p
237,1985,mar,4,"The Islam that is being practiced in the Muslim World today is a vastly 
        distorted Islam. we must return to the Islam preached by Muhammad, God’s 
        final prophet. Read the coming issues of MP.",p
238,1985,mar,4,FOR YOUR INFORMATION,u
239,1985,mar,4,VIOLATIONS OF THE QUR’AN’s MATHEMATICAL MIRACLE,h3
240,1985,mar,4,"ALL NINE VIOLATIONS 
        HAVE BEEN FOUND IN ",strong
241,1985,mar,4,"THE LAST TWO VERSES OF SURA 9. (See 
        the table at the end of this article)",strong
242,1985,mar,4,"LAST TWO VERSES OF 
        SURA 9 WERE FINGERED AS FAILING TO CONFORM TO THE ESTABLISHED CRITERIA 
        FOR COLLECTION AND RECORDING OF QUR’AN. This was done 1400 years 
        before I was born.",strong
243,1985,mar,4,"ONLY SURA IN QUR’AN 
        THAT DOES NOT OPEN WITH ""THE NAME OF GOD",strong
244,1985,apr,1,"April 1985: Page 1, 
              2, 3, 4",p
245,1985,apr,1,"Masjid 
              Tucson",p
246,1985,apr,1,Page 1,p
247,1985,apr,1," 
	In the name of God, Most Gracious, Most Merciful
	",p
248,1985,apr,1,Muslim Perspective,p
249,1985,apr,1,"Proclaiming 
                    the only religion acceptable to God",p
250,1985,apr,1,"[No 
                    3]",p
251,1985,apr,1,Rajab 1405,p
252,1985,apr,1,"During the last 14 centuries traditions, customs, superstitions 
        and innovations have crept into Islam. Gradually, these distortions came 
        to be vested with such religious solemnity that anyone who questions them 
        finds HIMSELF regarded as the dangerous innovator and heretic. Islam today 
        is a precious jewel that is buried under piles upon piles of man-made 
        innovations. Our aim is to eradicate all distortions and present the jewel 
        of Islam to the world.",p
253,1985,apr,1,,p
254,1985,apr,1,"If you turn away we will substitute other people in your 
        place, and they will not be like you.",p
255,1985,apr,1,"The number 19 is the numerical value of the 
        Arabic word “WAHED = ONE” (و (W) = 6, ا (A) = 1, ح (H) = 8, 
        & د (D) = 4 : 6+1+8+4=19). The message GOD IS ONE pervades 
        the whole Qur’an through a miraculous mathematical system where 
        the number 19 is the common denominator.",p
256,1985,apr,1,"This system is based entirely on PHYSICAL, UNDENIABLE, FACTS such as 
        the 19 letters in the Qur’an’s opening statement (Basmalah), 
        the fact that Qur’an consists of 114",p
257,1985,apr,1,"(19 x 6) suras, the fact that all the mysterious 
        letters that prefix half the Qur’an (ALM, Q, N, Ya seen, etc.) occur 
        in their suras a number of times which is ALWAYS a multiple of 19, in 
        addition to many other physical, incontrovertible, facts.",p
258,1985,apr,1,"This overwhelming miracle of Qur’an is recognized by God Himself 
        as “ONE OF THE GREATEST MIRACLES” (74:35), with the number 
        19 specifically mentioned (see 74:30-35). The Miracle is simple and straightforward,",p
