document_slug,document_title,pdf_page,printed_page,english_confidence,text_length,reason
the_computer_speaks,The Computer Speaks: God's Message to the World,134,130,63.29,836,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,135,131,60.39,751,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,136,132,56.28,823,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,137,133,60.94,830,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,138,134,59.8,791,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,141,137,30.63,471,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,143,139,53.4,770,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,144,140,52.23,847,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,145,141,56.63,831,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,146,142,44.97,919,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,148,144,46.08,943,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,150,146,47.99,796,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,151,147,58.16,831,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,152,148,50.04,886,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,153,149,57.67,921,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,155,151,58.58,217,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,156,152,51.06,260,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,157,153,45.55,374,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,159,55,61.62,640,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,160,156,41.24,234,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,161,157,58.54,700,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,162,58,42.79,562,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,163,159,53.51,806,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,164,160,60.23,813,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,166,162,56.78,776,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,168,164,41.27,784,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,169,165,55.45,805,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,170,166,64.64,786,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,171,167,62.65,306,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,172,168,45.85,447,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,173,169,46.35,671,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,174,176,63.5,799,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,175,171,61.96,868,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,176,172,56.46,818,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,177,173,43.86,888,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,178,174,52.71,917,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,179,175,48.36,980,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,180,176,64.76,936,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,182,178,63.16,683,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,183,179,31.02,635,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,184,160,44.69,991,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,187,163,63.11,430,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,189,185,48.33,487,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,190,186,52.74,815,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,191,167,60.57,626,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,192,188,49.48,832,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,193,169,60.66,1000,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,194,8,48.81,858,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,195,191,53.68,884,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,196,192,63.36,822,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,200,196,59.12,413,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,214,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,216,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,222,476,61.05,1619,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,246,,39.93,70,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,268,522,44.1,629,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,272,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,273,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,274,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,275,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,276,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,277,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,278,,,0,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,279,,78.76,31,low OCR confidence or sparse text
the_computer_speaks,The Computer Speaks: God's Message to the World,280,,,0,low OCR confidence or sparse text
