pdf_page,printed_page,blank_page,transcription_text,arabic_text
27,104,False,"GOD'S MESSAGE TO HUMANITY

The mathematical evidence presented above for the authenticity of the Qur'an, as God's unaltered message to humanity, leaves no excuse for anyone to be other than a Muslim.

References

1. Qur'an 15:9.
2. Qur'an 29:50-51.
3. Khalifa, R. A. 1973. Miracle of the Qur'an. Islamic Productions, St. Louis, Missouri, USA.
4. Qur'an 17:88.
5. Qur'an 15:9.

ISLAM 1394/1974, 1(2)",
28,105,False,"God will say, ""O Jesus, son of Mary, have you told the people, 'Worship me and my mother instead of God?'"" Jesus shall say, ""All glory belongs to You. How could I tell them what is not right? If I did say it, then You already know it; You know my innermost thoughts while I know not Your thoughts. Surely, You are the Knower of all secrets. I told them but what You commanded me to say; that 'you shall worship God, my Lord and your Lord.' I remained a witness upon them for as long as I stayed with them. When You terminated my mission, You were the Watcher over them; You are the witness over all things.""

(Sura Al-A'raf 7:116-117)

ISLAM 1394/1974, 1(2)",وَإِذْ قَالَ اللَّهُ يَا عِيسَى ابْنَ مَرْيَمَ أَأَنتَ قُلْتَ لِلنَّاسِ اتَّخِذُونِي وَأُمِّيَ إِلَٰهَيْنِ مِن دُونِ اللَّهِ قَالَ سُبْحَانَكَ مَا يَكُونُ لِي أَنْ أَقُولَ مَا لَيْسَ لِي بِحَقٍّ إِن كُنتُ قُلْتُهُ فَقَدْ عَلِمْتَهُ تَعْلَمُ مَا فِي نَفْسِي وَلَا أَعْلَمُ مَا فِي نَفْسِكَ إِنَّكَ أَنتَ عَلَّامُ الْغُيُوبِ مَا قُلْتُ لَهُمْ إِلَّا مَا أَمَرْتَنِي بِهِ أَنِ اعْبُدُوا اللَّهَ رَبِّي وَرَبَّكُمْ وَكُنتُ عَلَيْهِمْ شَهِيدًا مَّا دُمْتُ فِيهِمْ فَلَمَّا تَوَفَّيْتَنِي كُنتَ أَنتَ الرَّقِيبَ عَلَيْهِمْ وَأَنتَ عَلَىٰ كُلِّ شَيْءٍ شَهِيدٌ
29,106,False,"by S. Shahid Mufassir

Race, Racism and Islam

The phenomenal scientific and sociological development of the 20th century Western world has had little effect on the growing problem of race relations. Man reaches for the moon and stars, but finds it difficult to extend the hand of brotherhood to fellow travellers on space ship Earth. Islam provided solutions to the racial problem 1400 years ago, in theory and in practice, without the need for demonstrations or civil rights bills. It established a society based on racial respect and mutual appreciation. Islamic principles thus contain the unfaltering light necessary to lead mankind out of the darkness and ignorance of racial discord.

Racial Concepts

Racism has reference to a socio-political policy or system which is based on the exaggeration of racial differences or on prejudice in favor of a certain race. Race itself is difficult to define. Many writers have spoken customarily of a Greek ""race"", a Nordic ""race"", an Anglo-Saxon ""race"", an Aryan ""race"" and so on, but racial nomenclature is illusive. Though mankind is comprised of a number of different groups which are physically distinguishable in some degree from one another, ""the differences between the four major groups of man and between the ethnic groups comprising them merely represent a distribution of variations which... occur more frequently in one group than they do in another... Not one of the major groups of man is unmixed, nor is any one of its ethnic groups pure; all are, indeed, much mixed and of exceedingly complex descent. Nor is there any scientific justification for overzealous or emotional claims that any one of them is in any way superior to another.""(1) In general, ""race"" means the major divisions of mankind which share certain common physical characteristics such as skin color, facial structure and texture of hair. But such has been the distribution and free mingling of mankind over the millenia that these classifications are more arbitrary than absolute. There are no pure races. Those who decry or bemoan ""race mixing"" are several thousand years too late.

Although there is no scientific justification for a dogma of either racial superiority or racial inferiority, the past century has witnessed increasing efforts to invest racism with a scientific sanction. ""In the universities... Southern whites received substantial though indirect support by racist scholars

ISLAM 1394/1974, 1(2): 106-117",
30,107,False,"S. Shahid Mufassir

... these eminent men perverted their scholarly pursuits in ways which would develop and enforce negative racial myths condoning Jim Crow (segregation) and lynching. Some of the 'scientific' support for racism came from the 'American School' of anthropology... as Melvin Drimmer has written, 'the nineteenth-century view of inequality became recognized as a scientific theory, justified by academic and scholarly opinion.'""(2)

Theoreticians of Hitler's Third Reich enunciated his dogma that ""all human culture, all the results of art, science and technology that we see before us today are almost exclusively the creative product of the Aryan (race)... If we were to divide mankind into three groups — the founders of culture, the bearers of culture, and the destoyers of culture, only the Aryan could be considered as representatives of the first group... True genius is always inborn and never cultivated, let alone learned. This applies not only to the individual but also to the race.""(3) Current champions of scientific racism are typified by William Shockley and John Baker, who continue the quest to prove, scientifically, that Caucasians or ""Europids"" are superior in intelligence, ""cognitive ability"" and civilization than all other races. One may question whether this phenomenal search for ""proof"" of Caucasian superstatus is no more than a mask for a deep-seated inferiority or guilt complex. Baker, for example, proudly asserts that Caucasians are superior by reason of their more civilized behavior, overlooking the obvious contradictions to this theory to be found in the slave trade, colonialism, and the concentration camps of the Third Reich.(4)

Other peoples and cultures have sought at times to explain differences between themselves and others in a chauvinistic manner, but this imputation of inherent, biological inferiority to any race is classically a Caucasian effort of modern times. ""The objection to any people on 'racial' or biological grounds is virtually a purely modern innovation... What is of the greatest interest and importance for an understanding of this matter is that the concept developed as a direct result of the trade in slaves by European merchants.""(5) Historically speaking, the doctrine that the African race is inferior arose from the need to justify slavery in Christian minds, especially the unusual brutality and dehumanization of the European slave trade with its attendant social and economic exploitation of slave labor. Slaveholders tranquilized any guilt pangs about slavery by postulating that the African was an inferior who deserved to be enslaved by virtue of his intrinsic nature and color.

Islam and Africans

Some noted authors have asserted incorrectly that Muslim travelers did not think highly of Africans, with special reference to the manner in which some

ISLAM 1394/1974, 1(2)",
31,108,False,"RACE, RACISM AND ISLAM

of them characterized the Zanj.(6) But the term Zanj in Muslim writing does not refer to all Africans. Primarily, Zanj denotes the pagan Bantus of East Africa, whose idolatrous practices Muslim writers described and objected to. What they found offensive was certain aspects of the pagan culture of the Zanj, not their race, and the Muslim writers never connected blackness of skin with inherent inferiority. Instead, they sought to explain the variations of skin color in terms of geography. They wrote that the racial characteristics of Europeans resulted from a cool, northern clime, while the racial traits of Africans derived from the hot, southern clime. Their observations convinced them that neither whites nor blacks had a monopoly on either intelligence or ignorance. Muslim travelers noted that Caucasians like the Slavs and Bulgars were unfriendly, lacking in civility and ""are overcome by ignorance and dullness, lack of discernment, and stupidity,"" just as certain Africans were ""overcome by fickleness, foolishness and ignorance.""(7) At the same time, a number of Muslim historians noted with admiration and great respect the accomplishments of black African kingdoms in the western Sudan. Ibn Battuta (1304-1377 CE) reported that the Mande people of West Africa ""possess admirable qualities. They are seldom unjust and have a greater abhorrence of injustice than any other people. There is complete and general safety throughout their country. Neither traveler nor inhabitant in it has anything to fear from robbers or men of violence.""(8) Not even the Zanj were portrayed as universally ignorant. According to Al-Mas'udi they enjoyed a thriving trade with China, India and Malaya and were skilled workers in metal. In the 10th century CE, Muslims from Oman settled among the coastal Zanj, intermarried with them and developed the well-known Afro-Arabic Swahili culture.(9)

Contrarily, European travelers like George Best in 1577 were quick to allege that ""the cause of the Ethiopian's (i.e., African's) blackness is the curse and natural infection of the blood, and not the distemperature of the climate.""(10) Thus, as far back as 1577, the theory was going around in European circles that blackness was a sign of inherent inferiority, the ""natural infection of the blood,"" and was not merely a matter of climate or geography. Some were groping for a justification for discrimination based on the nature of things so that their aberrations would be considered a sign of learning or intelligence. The actual enshrining of discrimination on the pedestal of science, however, awaited later centuries.

Race in the Early Muslim Community

No proper assessment of the Islamic attitude on race can be made without primary reference to the examples of the prophet Muhammad (peace be

ISLAM 1394/1974, 1(2)",
32,109,False,"S. Shahid Mufassir

upon him) and his companions (may God be pleased with them). These examples, together with the guidance of God in the Qur'an are what constitute the Islamic position on race. It is not sufficient to scrutinize the concepts of a certain traveler, merchant, wali or sultan 300 or 700 years after the Hijrah to formulate an indication of Islam's racial standards. Confusing the personal attitudes of individual Muslims with that of the Islamic law or community inevitably leads to incomplete and incorrect conclusions.

We are met first of all with the striking observation that of all the great prophets ONLY Muhammad had an intimate companion of the African race. Therefore, the prophet (peace be upon him) provided an excellent, instructive example of Islamic racial attitudes in his companionship with Bilal b. Rabah, the Ethiopian whom Abu Bakr ransomed from slavery to pagan Arabs. Consequent to the Hijrah to Madinah, the prophet joined the Muhajirun with ansari families in a socio-economic brotherhood which abolished all distinction between Makkan and Madinan Muslims, between Quraysh and Aus or Khazraj tribes, between freeman and former slave. Bilal was joined in brotherhood with Abu Ruwayha of the Arab family of Khas'am. There was no social segregation; there were no frantic efforts to find another black family with which to join Bilal. In 20th century industrialized societies minorities are often assigned to menial positions reserved for social outcasts or inferiors. The Muslims did not treat Bilal in this manner. Indeed, he was appointed the treasurer of the Muslim community, a position of utmost responsibility and trust. Bilal was renowned also as the first mu'adhdhin, which was a position of respected spiritual leadership. He was an active participant — not an orderly or attendant — in all of the battles fought to defend the Muslim community, slaying in the battle of Badr his former owner, Umayyah. There is no analogy at all to the degrading references to blacks even in America in the case of Bilal. The Muslims never called him a ""nigger"", a ""coon"" or a ""Sambo"". Rather, this former slave was affectionately called ""Sayyiduna Bilal"" — our master Bilal — by the Muslims.

Similarly, in America and most European countries, racial intermarriage has long been legally taboo, just as it still is in white-ruled nations like Rhodesia and South Africa. Despite the claims to being representative of the greatest civilzation, sophistication and Christian brotherhood, many American whites continue to denounce intermarriage between blacks and whites as undesirable. When they refer to it as miscegenation they infer that the mis- is the prefix for bad or wrong (though the real derivation is from Latin miscere, to mix). For them, all race mixing is bad and wrong, even though mankind has been doing just that since time immemorial. Here also the example of Bilal is instructive. The Muslims set up no barriers of law or custom to ""protect"" the noble Arab ladies from marriage to non-Arabs

ISLAM 1394/1974, 1(2)",
33,110,False,"RACE, RACISM AND ISLAM

generally or Africans in particular. Bilal married not one, but several Arab ladies of respected lineage before his death in Damascus at 63 years of age.(11) There can be no reasonable doubt as to the sincerity of the Muslims in treating all people with dignity and equality.

Those writers who assert that traditions in which Bilal is given permission to marry an Arab girl are ""probably not authentic"" call their own scholarship into serious question, especially since they accept without question obviously spurious traditions such as the one in which the prophet is supposed to have said, ""Do not bring black into your pedigree,"" or another ridiculous tradition which warned, ""Do not intermarry with the sons of Ham."" Even before Islam, black Arabs like 'Antar were considered heroes and the doctrine that the sons of Ham, allegedly the black race, were cursed is not a Muslim legend, as erroneously stated by some writers.(12) This theory is based on a misunderstanding of words recorded in the Bible at Genesis 9:25, 26 where the curse is actually put upon Canaan, not Ham. However, the Jewish Babylonian Talmud of the 6th century CE transmitted the misconception that ""the descendants of Ham are cursed by being black"". Benjamin of Tudela, a Spanish rabbi of the 12th century CE inscribed that ""there is a people... who, like animals... go about naked and have not the intelligence of ordinary men... these sons of Ham are black slaves.""(13) Likewise, Christian writers picked up this mistaken theme from the Bible. In 1577, George Best explained the black skin of the African as ultimately the result of the curse on Ham, whose son Cush and ""all his posterity after him should be so black and loathesome that it might remain a spectacle of disobedience to all the world. And of this black and cursed Cush came all these black Moors which are in Africa.""(14) Interestingly, in his religious bias, Best included the ""Moors"" (African Muslims) in the curse.

There are clear, authentic traditions in which the Prophet declares unreservedly that there is no superiority for an Arab over a non-Arab so far as race is concerned.(15) Furthermore, no intelligent Arab would specifically condemn intermarriage with the ""sons of Ham"" because the ""sons of Ham"" include the Egyptians of old. (Egypt is called the ""land of Ham"" in the Bible at Psalms 78:51 and elsewhere.) Hajira (Hagar), the mother of the Arabs, was Egyptian and so was Mariya, the wife of Muhammad. Egypt, of course, is geographically African and racially heterogeneous, and has been racially mixed since the days of the early pharoahs.(16) In 1933, discoveries of prehistoric paintings in North Africa (near present-day Djanet in Algerian sahara) cast interesting light on the racial heterogeneity of that entire area. ""At Tin Aboteka there is the figure of a huge archer, almost two meters tall, with Negroid features... From a careful study of details and features, it is evident that the first authors of the paintings were a Negroid

ISLAM 1394/1974, 1(2)",
34,111,False,"S. Shahid Mufassir

hunting people. This is a very interesting fact because it proves that the range of the Negroid element in Africa in prehistoric times reached much farther northward* than it does today... the paintings, characterized by human figures with round heads, date back to circa 6000-7000 B.C.... Another noticeable element in these paintings is the variety of racial types coexisting as of a certain period. Side by side with the original Negroid element are figures with clearly Mediterranean profiles, or Ethiopians, a fact which confirms what was already known about the ethnic composition of the ancient Saharan peoples but which sheds new light on the relations between them. At a certain point these groups lived side by side in this region."" (Dr. Giorgio Gualco, ""The Rock Paintings of Tassili,"" in Mankind magazine, vol. 4, no. 6, April, 1974, pp. 41-47. emphasis added.) Much the same can be said of the ancient Egyptian paintings. Pharoahs and commoners alike were often portrayed with ""Negroid"" features. (See Egyptian Art, ed. by Francesco Abbate, Octopus Books: London, 1972.)

As reported by a ninth century C.E. Muslim writer of African descent, Muslim society imposed no barriers to intermarriage. According to Al-Jahiz of Basra, ""the deserts swarm with the number of our (African) men who married your (Arab) women and who became chiefs and defended you against your enemies."" (Kitab al-Sudan wa 'l-Bidan). The Muslim world did not need civil rights bills or affirmative action plans in order to provide Africans with equal advancement opportunity in the realm. Afro-Arabs gained prominence on all levels. Their renowned number included the above-mentioned Al-Jahiz (d. 869 C.E.), one of the greatest prose writers in classical Arabic literature and pioneer biologist; the poet Nusayb bin Riah; the financier Faraj Abu Kub; the black rulers of Muslim India, Malik Andil (d. 1494) and Malik Ambar (d. 1628); Yakub bin Yusuf al-Mansur (d. 1199), one of the greatest Moorish rulers of Spain; and Abu Hasan 'Ali (d. 1351), also known as Al-Sultan Al-Aswad, ""The Black Sultan"", who was patron of the arts and master of the Mediterranean after defeating the fleet of Admiral Godfrey Tenorio. (For these and many more, see J. A. Rogers, World's Great Men of Color, vol. I, Collier Books, N.Y., rev. ed. 1972.)

Racism is Ignorance

The sound tradition found at Bukhari 2:21 refutes decisively the contention that Islam sanctions any racial prejudice or discrimination. In this tradition, the prophet (peace be upon him) cogently identified racial abuse with ignorance. The Arabic word here, jahiliyyah, signifies foolisness, irrationality and any behavior in disregard to the facts. In Muslim terminology, jahiliyyah

*Incidentally, this refutes the claim that the obvious ""Negroid"" features of North Africans are merely the result of slavery. Rather, it is an ancient and indigenous phenomenon.

ISLAM 1394/1974, 1(2)",
35,112,False,"RACE, RACISM AND ISLAM

refers to the days of unbelief prior to the enlightenment of Islam; therefore, it is equivalent to kufr (unbelief). The verdict of the prophet shows that racism or racial discrimination is an act of unbelief as well as an indication of ignorance. Racial discrimination disregards the fact that all men are brothers racially. Since the prophet has pronounced racial discrimination to be ignorance, Islam cannot view any form of racism as scientific, intelligent or cultured. Rather, it is an act unworthy of a Muslim who has professed belief in the Creator of all mankind and in the Messenger whom He sent for the blessing of all mankind.

Categorically condemned as a jahiliy concept, racial discrimination has never been the policy of any Islamic state nor an approved practice of any Muslim. ""People did not ask about race or origin but about deeds, character and righteousness. Among the Mamluks (slaves) who attained the highest state positions we find Armenian, Russian, Sicilian, Georgian, Circassian Tartar, Turk, Frank, Sudanese and Ethiopian... they represented all the colors of mankind... Racism, or a fanatic attachment to tribe, color, language, or culture, is rejected by the Message (of Muhammad) as a product of pre-Islamic idolatry. The prophet declares, 'He is not of us who preaches bigotry.' Islam rejects every form of bigotry. All loyalties are directed to the word of God, and no relation above the spiritual is recognized... no set of distinct racial traits with which we are familiar possessed at any time in human history a monopoly over intelligence, knowledge and originality.""(17)

The Islamic Record in Africa

Muslim contributions to the development of Africa and African culture are many. Muslims refused to treat the African as an inferior, but, following the example of the prophet (peace be upon him), extended to him the hand of brotherhood and equality. The poor example of a small number of Muslim slave traders does not invalidate this. They obviously were following other than an Islamic example and were led by other than Islamic principles or motives. The overwhelming majority of Muslims refrained from such practices and in the true Islamic spirit continued to emancipate people from slavery and to liberate colonized people from colonization. Africans mastered Arabic and several native African languages adopted Arabic terms and expressions, such as Hausa, Yoruba and Swahili. ""In providing a written language, a literate and learned administrative class, and above all, a bond of union that cut across ethnic considerations, Islam was a powerful factor in nation building in West Africa.""(18) For example, ""Northern Nigeria... (had) a well established system of government with laws and law courts and a fi-

ISLAM 1394/1974, 1(2)",
36,113,False,"S. Shahid Mufassir

nancial administration based on Islamic law.""(19) African Muslims established international relations with the Islamic world, set up Islamic schools and colleges which gained wide fame. ""Youth from all over the Muslim world came to Timbuktu (Mali, West Africa) to study law and surgery at the University of Sankore; scholars came from North Africa and Europe to confer with the learned historians and writers of the black empire. ('Abd al-Rahman) Al-Sa'di, a Timbuktu intellectual who wrote a history of the Sudan (Ta'rikh al-Sudan, 1655 CE)... had a private library of 1,600 volumes... The University of Sankore and other intellectual centers in Timbuktu had large and valuable collections of manuscripts in several languages. Scholars traveled to the Songhay city to check their Greek and Latin manuscripts.""(20)

Ahmad Baba, born in Mali in 1556, composed many works on Islamic law and at least 13 of these are still in use by the 'ulama of West Africa. Another history of the western Sudan, Ta'rikh al-Fattash (History of the Seeker) had been composed in Arabic by the Malian Mahmud Kati, who was born in 1468. ""This capacious activity of Muslim scholarship and writing has never ceased in West Africa, but has grown and spread with the passing of the years."" (21) ""The history of Islam in North Africa teems with examples of black rulers who achieved greatness in the opinion of contemporaries, irrespective of color or race. The history of Africa is full of examples of Sudanese jurists who attained the position of Imams, Qadis and Muftis, and whose books are known in the whole Muslim world. In Africa, Islam was an element of unification which stood in the face of attempts at disunity.""(22)

Scholars agree that Islam played a fundamental role in nation building in Africa by providing the basis for unity and social justice. Even in the issue where Islam is much maligned by Western writers, that of slavery, Islam played a positive role. Because the goal of Islam is the emancipation of all men from the yokes of every type of servitude to men the Prophet and his companions liberated slaves and the Qur'an commends the emancipation of slaves in six separate verses. The abuses which are characteristic of slavery did not exist even when circumstances called for Muslims to take captives of war. Whether the slaves of Muslims were white or black, the condition of servitude carried no racial stigmas. Slavery was not rationalized on the basis of ""innate inferiority"" and the laws of Islamic states made emancipation easy. Among the Muslims, slavery never became a business enterprise or the staple of the economy and the trade in slaves has always been held to be contrary to Islamic teaching. By contrast, the official documents and pronouncements of the Church ""supported the slave trade... Jesuits, Dominicans and Franciscans were heavily involved... The Moravian missionaries in the Islands held slaves without hesitation; the Baptists...

ISLAM 1394/1974, 1(2)",
37,114,False,"RACE, RACISM AND ISLAM

would not allow their earlier missionaries to deprecate ownership of slaves... Slave dealing was one of the most lucrative investments of English as of American Quakers.""(23) It was not until the European slave trade that ""slavery reached massive proportions, decimating whole tribes... Also, the Europeans were quick to formulate racial theories to jusitfy the traffic, classifying Africans as 'natural' slaves, foredoomed to such a lowly state by their inborn backwardness.""(24)

The British abolished slavery in 1807, after it had become ""less profitable and less vital to England... Prior to 1783, however, all classes in English society presented a united front with regard to the slave trade. The monarchy, the governed, the churches, public opinion in general, supported the slave trade.""(25) Even afterward, this abolition was strongly objected to by men like Benjamin Disraeli, the Jewish prime minister (elected in 1868) who condemned the emancipation of slaves as ""the greatest blunder ever committed by the English people."" He wrote, ""the movement of the middle class for the abolition of slavery was virtuous, but it was not wise. It was an ignorant movement."" (Life of Lord George Bentinck)(26) But even before this British move, and long before the emancipation of slaves in America (1863), the Muslim government of Futa Toro in Senegal, West Africa, abolished slavery by law in 1788, despite the fierce opposition of French slave traders. The French ""compalined to the Almamy (the Imam) asking him to change his mind and do away with the law. The Almamy refused to do so, and followed this refusal by sending back to the agents of the French slave-trading company a number of presents they had given him, adding that 'all the riches of that company would not make him change his mind.'""(27)

According to the Sierra Leone Studies, vol. 21, 1939, Muslim Africans had for long ""participated in the suppression of the slave trade... the Sharif of Mecca had sent a letter to the king of the Fulas for circulation through all these Mandingo tribes, strictly prohibiting the selling of slaves — and which letter was also promulgated among the Yorubas, Fulanis and other neighboring tribes. The slave traffic was declared to be contrary to the teachings of Mohammed, which pronounce the most fearful denunciations of Allah's wrath in the world hereafter against those who persist in the traffic with the European nations."" (pp. 18, 19)

God's Verdict on Race

While there is no ""curse of Ham"" in the Noble Qur'an, it does mention a black man rather prominently. This makes the Qur'an the only religious text in the world which has a whole chapter named after a member of the

ISLAM 1394/1974, 1(2)",
38,115,False,"S. Shahid Mufassir

African race: Luqman, upon whom God bestowed wisdom despite his humble status. ""He is the type of perfect wisdom. It is said that he belonged to a humble station in life, being a slave or carpenter."" (Qur'an translation by Yusuf Ali, p. 1082, note 3593.) According to Al-Mas'udi, he was a freed black slave. Other Arab traditions specify that he was a coal-black Ethiopian with wooly hair. (Cf. Qur'an translation by A. M. Daryabadi, vol. V, p. 656, note 264.) Eight verses of the holy book transmit the wisdom which God gave to Luqman (31:12-19). God's favor knows no racial boundaries.

The Qur'an, the word of man's Creator, has declared that racial differences exist for purely pleasant, positive reasons which are diametrically opposed to any form of discrimination or racism. There is not a single verse in the Qur'an which implies or says that racial differences are to be a natural means of segregation. God says:

We have honored (karramna) the children of Adam... and conferred on them special favors, above a great part of our creation.

(17:70)

No race or ethnic group comprising ""the children of Adam"" has been excluded from this honor or nobility (karamah) and superiority or preference (fadl) which God has conferred on mankind over the rest of creation.

As for varieties of color, Islam does not consider any hue of skin as being the result of a curse. All complexions are signs of God's creative power.

Among His signs (or, miracles: ayat) is the creation of the heavens and the earth, and the differences in your languages and complexions. Truly these are signs for those who reflect.

(30:22)

No language or color is considered inferior and the very existence of diversity is indicative of God's miraculous, complex creative ability. The brown or black complexion is equally a miracle or marvel (ayah) as the white or yellow complexion.

Giving the greatest blow to all theories of racial discrimination, whether ""scientific"" or bigoted, God says further:

O mankind. We created you all from a single pair, and made you various races (shu'ub) and tribes so that you may be mutually acquainted.

(49:13)

""The accent is totally posivitive. The emphatic point, 'so that you (mankind) may be mutually acquainted,' is just one expression in Arabic: lita'arafu.

ISLAM 1394/1974, 1(2)",
39,116,False,"RACE, RACISM AND ISLAM

In grammatical terms ta'arafa is a Form VI verb which emphasizes the mutual application of the verb sense. The verb root itself is 'arafa, which means 'to be acquainted with; to approve of; to appreciate; to be positive about.' The Qur'an, employing this expression lita'arafu, is making the revolutionary statement that God made the different races and peoples so that the variety in mankind would lead to mutual acquaintance, mutual approval, mutual appreciation, a positive attitude.""(28)

Bernard Lewis passes over this phenomenal statement, having blurred its import by translating shu'ub (races) as the vague term ""confederacies"" and asserting that the main point being made by it is ""clearly social rather than racial.""(29) This assumption is incorrect. Shu'ub does refer to ""races"". Dr. A. J. Arberry so translates it in his The Koran Interpreted: ""O mankind, We have created you male and female, and appointed you races and tribes . . ."" The Muslim scholar Hafiz Ghulam Sarwar likewise renders this verse: ""O ye mankind! Surely We have made you out of male and female. And We have made into races and tribes . . .""(30) In his commentary on this verse Maulana 'Abdul Majid Daryabadi (Vol. 6, The Taj Co., Karachi, Pakistan, 1957, p. 818) writes: ""In plain speech, all races of men, Europeans, Asiatics and Africans; white, brown and black are equally His creation . . . This verse equally well demolishes the myth of a 'master race,' and completely supports the scientific finding that racial discrimination has no foundation in biological fact . . . this puts an end to the vast pseudo-science of 'racial biology' seeking to justify political ambitions (and) economic ends."" And, according to Dr. Muhammad 'Abdul-Ra'uf, the essential point being made here is that ""all people are equal in the eyes of God, and He wants them to treat each other as equal. Distinction between people on the basis of race, color or wealth or on any other basis is artificial and should not be tolerated.""(31)

Islam insists that racial variety should be a means of mutual attraction, and this has been the function of racial variety during the many millenia in which the human population interbred extensively. Islam condemns racial discrimination as ignorance and goes beyond the requirement of mere racial tolerance. Islam calls for racial appreciation, mutual respect, a positive human brotherhood based on love for God and man.

Footnotes

1. Ashley Montagu, The Fallacy of Race (New York, 1967), p. 29.
2. B. N. Schwartz and R. Disch, eds., White Racism (New York, 1970), pp. 30, 31.
3. Adolf Hitler, Mein Kamph (Boston, 1943), pp. 284-290.
4. ""Scientific Racialism,"" Impact International Fortnightly, 4:7 (12-25 April, 1974), London, p. 10.
5. Montagu, op. cit., pp. 37, 38.",
40,,False,"S. Shahid Mufassir

6. Bernard Lewis, Race and Color in Islam (New York, 1971), p. 17.
7. Ibid., p. 36, quoting Sa'id al-Andalusi.
8. Ebony Pictorial History of Black America (Chicago, 1971) I, 26.
9. Ibid., p. 34. ""Swahili"" is from Arabic sawahila, ""coastal inhabitant.""
10. Schwartz and Disch, op. cit., pp. 8, 9.
11. S. Haq, ""Hazrat Bilal bin Rabah,"" Al-Ittihad 6:1 (August, 1969), 28.
12. Lewis, op. cit., p. 66.
13. E. R. Sanders, ""Rape of African History: The Hamitic Hypothesis,"" Liberator 10:4 (April, 1970), 5-7.
14. Schwartz and Disch, op. cit., p. 9.
15. (Imam) Tirmidhi, Sunan, Bab al-Tafsir, hadith no. 49; Ibn Hanbal, Musnad, vol. 5, 411.
16. J. E. Harris and K. R. Weeks, X-Raying the Pharoahs (New York, 1973), pp. 72, 123, 127.
17. 'Abd al-Rahman Azzam, The Eternal Message of Muhammad (New York, 1965), pp. 202, 205, 221.
18. J. F. Ajayi and Ian Espie, eds., A Thousand Years of West African History (Ibadan, Nigeria, 1965), p. 265.
19. Ibid., p. 393.
20. Lerone Bennett, Jr., Before the Mayflower (Baltimore, 1968), p. 19.
21. Basil Davidson, A History of West Africa (New York, 1966), pp. 167, 168.
22. M. S. Muhammad, Islam Condemns Racial Discrimination (Cairo, Egypt, 1967), p. 63.
23. Eric Williams, Capitalism and Slavery (New York, 1966) 4th ed., p. 43.
24. L. H. Fishel and B. Quarles, eds., The Negro American (Illinois, 1967), p. 5.
25. Williams, op. cit., p. 39.
26. Ibid., p. 194.
27. Davidson, op. cit., p. 297.
28. S. S. Mufassir, ""Beyond Tolerance: A new appreciation of Race,"" Impact International Fornightly, 3:11 (26 Oct.-8 Nov. 1973), London, p. 8.
29. Lewis, op. cit., p. 7.
30. H. G. Sarwar, Muhammad the Holy Prophet (Lahore, Pakistan, 1961), p. 307.
31. M. A. Rauf, Islamic Religious Knowledge (New York, 1968) II, 70.

Principal References

1. Ajayi, J. F. A Thousand Years of West African History. Ibadan, Nigeria: Ibadan U. Press, 1965.
2. Azzam, A. R. The Eternal Message of Muhammad. New York: New American Library, 1965.
3. ""Beyond Tolerance: A new appreciation of Race,"" Impact International Fortnightly, London, 3:11 (26 Oct.-8 Nov. 1973).
4. Davidson, Basil. A History of West Africa. New York: Doubleday & Co., 1966.
5. Harris, J. E. X-Raying the Pharoahs. New York: Chas. Scribner's Sons, 1973.
6. Montagu, Ashley. The Fallacy of Race. New York: Meridian Books, 1967.
7. Rogers, J. A. World's Great Men of Color. New York: Collier Books, ed. of 1972.
8. Schwartz, B. N. White Racism. New York: Dell Publishing Co., 1970.
9. Williams, Eric. Capitalism and Slavery. New York: Capricorn Books (4th ed.), 1966.",
41,118,False,,"بسم الله الرحمن الرحيم
محمد رسول الله والذين معه أشداء على الكفار رحماء بينهم

Circular border text in small script surrounding the central calligraphy, partially illegible due to script density and small size"
42,119,False,,"بسم الله الرحمن الرحيم
الله نور السماوات والأرض مثل نوره كمشكاة فيها مصباح"
43,120,False,"English Meanings of the Qur'an : 2
by Rashad Khalifa, Ph.D.

Sura Al-Baqarah (The Heifer) 2:30-98

In the Name of God, the Compassionate, the Merciful
(The Creation of Man)
30 When your Lord said to the angels, ""I will place on earth a viceroy,"" they said, ""Will you place therein one who may spread corruption and bloodshed; while we praise Your glory and hold You sacred?"" He said, ""I know what you know not."" 31 He taught Adam the names of all things, then presented them to the angels, saying, ""Tell Me the names of these if you are right."" 32 They said, ""All glory belongs to You. We have no knowledge, except that which You bestowed upon us. Surely, You are the Omniscient, the Wise."" 33 God said, ""O Adam, inform them of their names."" When he informed them of their names, God said, ""Did I not tell you that I know the future of the heavens and the earth; that I know what you reveal as well as what you conceal?"" 34 Then when I told the angels, ""Fall prostrate before Adam,"" they fell prostrate, except Iblis; he refused, due to arrogance, and thus, he became a rebel. 35 I said, ""O Adam, dwell with your wife in Paradise; eat therefrom and enjoy whatever you like, but do not approach this one tree lest you become wrong-doers."" 36 However, Satan duped them, and caused their eviction therefrom. Thus, I said, ""Go down as enemies of one another. On earth, there shall be your abode and provision for a finite period.""",
