chapter,verse,arabic,english
10,3,إن ربكم الله الذي خلق السماوات والأرض في ستة أيام ثم استوى على العرش ۖ يدبر الأمر ۖ ما من شفيع إلا من بعد إذنه ۚ ذلكم الله ربكم فاعبدوه ۚ أفلا تذكرون,"Your only Lord is GOD; the One who created the heavens and the earth in six days, then assumed all authority. He controls all matters. There is no intercessor, except in accordance with His will. Such is GOD your Lord. You shall worship Him. Would you not take heed?"
10,30,هنالك تبلو كل نفس ما أسلفت ۚ وردوا إلى الله مولاهم الحق ۖ وضل عنهم ما كانوا يفترون,"That is when each soul will examine everything it had done. They will be returned to GOD, their rightful Lord and Master, and the idols they had fabricated will disown them."
10,31,قل من يرزقكم من السماء والأرض أمن يملك السمع والأبصار ومن يخرج الحي من الميت ويخرج الميت من الحي ومن يدبر الأمر ۚ فسيقولون الله ۚ فقل أفلا تتقون,"Say, ""Who provides for you from the heaven and the earth? Who controls all the hearing and the eyesight? Who produces the living from the dead, and the dead from the living? Who is in control of all things?"" They would say, ""GOD."" Say, ""Why then do you not observe the commandments?"""
10,32,فذلكم الله ربكم الحق ۖ فماذا بعد الحق إلا الضلال ۖ فأنى تصرفون,"Such is GOD, your rightful Lord. What is there after the truth, except falsehood? How could you disregard all this?"
10,33,كذلك حقت كلمت ربك على الذين فسقوا أنهم لا يؤمنون,This is what your Lord's decision does to those who choose to be wicked: they cannot believe.
10,34,قل هل من شركائكم من يبدأ الخلق ثم يعيده ۚ قل الله يبدأ الخلق ثم يعيده ۖ فأنى تؤفكون,"Say, ""Can any of your idols initiate creation, then repeat it?"" Say, ""GOD initiates the creation, then repeats it."""
10,35,قل هل من شركائكم من يهدي إلى الحق ۚ قل الله يهدي للحق ۗ أفمن يهدي إلى الحق أحق أن يتبع أمن لا يهدي إلا أن يهدى ۖ فما لكم كيف تحكمون,"Say, ""Does any of your idols guide to the truth?"" Say, ""GOD guides to the truth. Is one who guides to the truth more worthy of being followed, or one who does not guide, and needs guidance for himself? What is wrong with your judgment?"""
10,36,وما يتبع أكثرهم إلا ظنا ۚ إن الظن لا يغني من الحق شيئا ۚ إن الله عليم بما يفعلون,"Most of them follow nothing but conjecture, and conjecture is no substitute for the truth. GOD is fully aware of everything they do."
10,37,وما كان هذا القرآن أن يفترى من دون الله ولكن تصديق الذي بين يديه وتفصيل الكتاب لا ريب فيه من رب العالمين,"This Quran could not possibly be authored by other than GOD. It confirms all previous messages, and provides a fully detailed scripture. It is infallible; for it comes from the Lord of the universe."
10,38,أم يقولون افتراه ۖ قل فأتوا بسورة مثله وادعوا من استطعتم من دون الله إن كنتم صادقين,"If they say, ""He fabricated it,"" say, ""Then produce one sura like these, and invite whomever you wish, other than GOD, if you are truthful."""
10,39,بل كذبوا بما لم يحيطوا بعلمه ولما يأتهم تأويله ۚ كذلك كذب الذين من قبلهم ۖ فانظر كيف كان عاقبة الظالمين,"Indeed, they have rejected this without studying and examining it, and before understanding it. Thus did those before them disbelieve. Therefore, note the consequences for the transgressors."
10,4,إليه مرجعكم جميعا ۖ وعد الله حقا ۚ إنه يبدأ الخلق ثم يعيده ليجزي الذين آمنوا وعملوا الصالحات بالقسط ۚ والذين كفروا لهم شراب من حميم وعذاب أليم بما كانوا يكفرون,"To Him is your ultimate return, all of you. This is GOD's truthful promise. He initiates the creation, then repeats it, in order to reward those who believe and lead a righteous life, equitably. As for those who disbelieve, they incur hellish drinks, and a painful retribution for their disbelieving."
10,40,ومنهم من يؤمن به ومنهم من لا يؤمن به ۚ وربك أعلم بالمفسدين,"Some of them believe (in this scripture), while others disbelieve in it. Your Lord is fully aware of the evildoers."
10,41,وإن كذبوك فقل لي عملي ولكم عملكم ۖ أنتم بريئون مما أعمل وأنا بريء مما تعملون,"If they reject you, then say, ""I have my works, and you have your works. You are innocent of anything I do, and I am innocent of anything you do."""
10,42,ومنهم من يستمعون إليك ۚ أفأنت تسمع الصم ولو كانوا لا يعقلون,"Some of them listen to you, but can you make the deaf hear, even though they cannot understand?"
10,43,ومنهم من ينظر إليك ۚ أفأنت تهدي العمي ولو كانوا لا يبصرون,"Some of them look at you, but can you guide the blind, even though they do not see?"
10,44,إن الله لا يظلم الناس شيئا ولكن الناس أنفسهم يظلمون,GOD never wrongs the people; it is the people who wrong their own souls.
10,45,ويوم يحشرهم كأن لم يلبثوا إلا ساعة من النهار يتعارفون بينهم ۚ قد خسر الذين كذبوا بلقاء الله وما كانوا مهتدين,"On the day when He summons all of them, they will feel as if they lasted in this world one hour of the day, during which they met. Losers indeed are those who disbelieved in meeting GOD; and chose to be misguided."
10,46,وإما نرينك بعض الذي نعدهم أو نتوفينك فإلينا مرجعهم ثم الله شهيد على ما يفعلون,"Whether we show you some (of the retribution) we promise them, or terminate your life before that, to us is their ultimate return. GOD witnesses everything they do."
10,47,ولكل أمة رسول ۖ فإذا جاء رسولهم قضي بينهم بالقسط وهم لا يظلمون,"To each community, a messenger. After their messenger comes, they are judged equitably, without the least injustice."
10,48,ويقولون متى هذا الوعد إن كنتم صادقين,"They challenge: ""When will this prophecy come to pass, if you are telling the truth?"""
10,49,قل لا أملك لنفسي ضرا ولا نفعا إلا ما شاء الله ۗ لكل أمة أجل ۚ إذا جاء أجلهم فلا يستأخرون ساعة ۖ ولا يستقدمون,"Say, ""I possess no power to harm myself, or benefit myself; only what GOD wills takes place."" Each community has a predetermined life span. Once their interim comes to an end, they cannot delay it by one hour, nor advance it."
10,5,هو الذي جعل الشمس ضياء والقمر نورا وقدره منازل لتعلموا عدد السنين والحساب ۚ ما خلق الله ذلك إلا بالحق ۚ يفصل الآيات لقوم يعلمون,"He is the One who rendered the sun radiant, and the moon a light, and He designed its phases that you may learn to count the years and to calculate. GOD did not create all this, except for a specific purpose. He explains the revelations for people who know."
10,50,قل أرأيتم إن أتاكم عذابه بياتا أو نهارا ماذا يستعجل منه المجرمون,"Say, ""Whether His retribution comes to you by night or by day, why are the transgressors in such a hurry?"
10,51,أثم إذا ما وقع آمنتم به ۚ آلآن وقد كنتم به تستعجلون,"""If it does happen, will you believe then? Why should you believe then? You used to challenge it to come?"""
10,52,ثم قيل للذين ظلموا ذوقوا عذاب الخلد هل تجزون إلا بما كنتم تكسبون,"It will be said to the transgressors, ""Taste the eternal retribution. Are you not requited precisely for what you have earned?"""
10,53,ويستنبئونك أحق هو ۖ قل إي وربي إنه لحق ۖ وما أنتم بمعجزين,"They challenge you to prophesy: ""Is this really what will happen?"" Say, ""Yes indeed, by my Lord, this is the truth, and you can never escape."""
10,54,ولو أن لكل نفس ظلمت ما في الأرض لافتدت به ۗ وأسروا الندامة لما رأوا العذاب ۖ وقضي بينهم بالقسط ۚ وهم لا يظلمون,"If any wicked soul possessed everything on earth, it would readily offer it as ransom. They will be ridden with remorse when they see the retribution. They will be judged equitably, without the least injustice."
10,55,ألا إن لله ما في السماوات والأرض ۗ ألا إن وعد الله حق ولكن أكثرهم لا يعلمون,"Absolutely, to GOD belongs everything in the heavens and the earth. Absolutely, GOD's promise is truth, but most of them do not know."
10,56,هو يحيي ويميت وإليه ترجعون,"He controls life and death, and to Him you will be returned."
10,57,يا أيها الناس قد جاءتكم موعظة من ربكم وشفاء لما في الصدور وهدى ورحمة للمؤمنين,"O people, enlightenment has come to you herein from your Lord, and healing for anything that troubles your hearts, and guidance, and mercy for the believers."
10,58,قل بفضل الله وبرحمته فبذلك فليفرحوا هو خير مما يجمعون,"Say, ""With GOD's grace and with His mercy they shall rejoice."" This is far better than any wealth they can accumulate."
10,59,قل أرأيتم ما أنزل الله لكم من رزق فجعلتم منه حراما وحلالا قل آلله أذن لكم ۖ أم على الله تفترون,"Say, ""Did you note how GOD sends down to you all kinds of provisions, then you render some of them unlawful, and some lawful?"" Say, ""Did GOD give you permission to do this? Or, do you fabricate lies and attribute them to GOD?"""
10,6,إن في اختلاف الليل والنهار وما خلق الله في السماوات والأرض لآيات لقوم يتقون,"Surely, in the alternation of night and day, and what GOD created in the heavens and the earth, there are proofs for people who are righteous."
10,60,وما ظن الذين يفترون على الله الكذب يوم القيامة ۗ إن الله لذو فضل على الناس ولكن أكثرهم لا يشكرون,"Does it ever occur to those who fabricate lies about GOD that they will have to face Him on the Day of Resurrection? Certainly, GOD showers the people with His grace, but most of them are unappreciative."
10,61,وما تكون في شأن وما تتلو منه من قرآن ولا تعملون من عمل إلا كنا عليكم شهودا إذ تفيضون فيه ۚ وما يعزب عن ربك من مثقال ذرة في الأرض ولا في السماء ولا أصغر من ذلك ولا أكبر إلا في كتاب مبين,"You do not get into any situation, nor do you recite any Quran, nor do you do anything, without us being witnesses thereof as you do it. Not even an atom's weight is out of your Lord's control, be it in the heavens or the earth. Nor is there anything smaller than an atom, or larger, that is not recorded in a profound record."
10,62,ألا إن أولياء الله لا خوف عليهم ولا هم يحزنون,"Absolutely, GOD's allies have nothing to fear, nor will they grieve."
10,63,الذين آمنوا وكانوا يتقون,They are those who believe and lead a righteous life.
10,64,لهم البشرى في الحياة الدنيا وفي الآخرة ۚ لا تبديل لكلمات الله ۚ ذلك هو الفوز العظيم,"For them, joy and happiness in this world, as well as in the Hereafter. This is GOD's unchangeable law. Such is the greatest triumph."
10,65,ولا يحزنك قولهم ۘ إن العزة لله جميعا ۚ هو السميع العليم,"Do not be saddened by their utterances. All power belongs to GOD. He is the Hearer, the Omniscient."
10,66,ألا إن لله من في السماوات ومن في الأرض ۗ وما يتبع الذين يدعون من دون الله شركاء ۚ إن يتبعون إلا الظن وإن هم إلا يخرصون,"Absolutely, to GOD belongs everyone in the heavens and everyone on earth. Those who set up idols beside GOD are really following nothing. They only think that they are following something. They only guess."
10,67,هو الذي جعل لكم الليل لتسكنوا فيه والنهار مبصرا ۚ إن في ذلك لآيات لقوم يسمعون,"He is the One who rendered the night for your rest, and rendered the day lighted. These are proofs for people who can hear."
10,68,قالوا اتخذ الله ولدا ۗ سبحانه ۖ هو الغني ۖ له ما في السماوات وما في الأرض ۚ إن عندكم من سلطان بهذا ۚ أتقولون على الله ما لا تعلمون,"They said, ""GOD has begotten a son!"" Be He glorified. He is the Most Rich. To Him belongs everything in the heavens and everything on earth. You have no proof to support such a blasphemy. Are you saying about GOD what you do not know?"
10,69,قل إن الذين يفترون على الله الكذب لا يفلحون,"Proclaim: ""Those who fabricate lies about GOD will never succeed."""
10,7,إن الذين لا يرجون لقاءنا ورضوا بالحياة الدنيا واطمأنوا بها والذين هم عن آياتنا غافلون,"Those who are not expecting to meet us, and are preoccupied with this worldly life and are content with it, and refuse to heed our proofs;"
10,70,متاع في الدنيا ثم إلينا مرجعهم ثم نذيقهم العذاب الشديد بما كانوا يكفرون,"They get their temporary share in this world, then to us is their ultimate return, then we commit them to severe retribution for their disbelieving."
10,71,واتل عليهم نبأ نوح إذ قال لقومه يا قوم إن كان كبر عليكم مقامي وتذكيري بآيات الله فعلى الله توكلت فأجمعوا أمركم وشركاءكم ثم لا يكن أمركم عليكم غمة ثم اقضوا إلي ولا تنظرون,"Recite for them the history of Noah. He said to his people, ""O my people, if you find my position and my reminding you of GOD's revelations too much for you, then I put my trust in GOD. You should get together with your leaders, agree on a final decision among yourselves, then let me know it without delay."
10,72,فإن توليتم فما سألتكم من أجر ۖ إن أجري إلا على الله ۖ وأمرت أن أكون من المسلمين,"""If you turn away, then I have not asked you for any wage. My wage comes from GOD. I have been commanded to be a submitter."""
10,73,فكذبوه فنجيناه ومن معه في الفلك وجعلناهم خلائف وأغرقنا الذين كذبوا بآياتنا ۖ فانظر كيف كان عاقبة المنذرين,"They rejected him and, consequently, we saved him and those who joined him in the ark; we made them the inheritors. And we drowned those who rejected our revelations. Note the consequences; they have been warned."
10,74,ثم بعثنا من بعده رسلا إلى قومهم فجاءوهم بالبينات فما كانوا ليؤمنوا بما كذبوا به من قبل ۚ كذلك نطبع على قلوب المعتدين,"Then we sent after him messengers to their people, and they showed them clear proofs. But they were not to believe in what they had rejected in the past. We thus seal the hearts of the transgressors."
10,75,ثم بعثنا من بعدهم موسى وهارون إلى فرعون وملئه بآياتنا فاستكبروا وكانوا قوما مجرمين,"Then we sent after them Moses and Aaron to Pharaoh and his group, with our proofs. But they turned arrogant; and were transgressing people."
10,76,فلما جاءهم الحق من عندنا قالوا إن هذا لسحر مبين,"When the truth came to them from us, they said, ""This is obviously magic!"""
10,77,قال موسى أتقولون للحق لما جاءكم ۖ أسحر هذا ولا يفلح الساحرون,"Moses said, ""Is this how you describe the truth when it comes to you? Is this magic? How can any magicians prevail?"""
10,78,قالوا أجئتنا لتلفتنا عما وجدنا عليه آباءنا وتكون لكما الكبرياء في الأرض وما نحن لكما بمؤمنين,"They said, ""Did you come to divert us from what we found our parents doing, and to attain positions of prominence for yourselves? We will never join you as believers."""
10,79,وقال فرعون ائتوني بكل ساحر عليم,"Pharaoh said, ""Bring to me every experienced magician."""
10,8,أولئك مأواهم النار بما كانوا يكسبون,"these have incurred Hell as their ultimate abode, as a consequence of their own works."
10,80,فلما جاء السحرة قال لهم موسى ألقوا ما أنتم ملقون,"When the magicians came, Moses said to them, ""Throw whatever you are going to throw."""
10,81,فلما ألقوا قال موسى ما جئتم به السحر ۖ إن الله سيبطله ۖ إن الله لا يصلح عمل المفسدين,"When they threw, Moses said, ""What you have produced is magic, and GOD will make it fail. GOD does not support the transgressors' work."""
10,82,ويحق الله الحق بكلماته ولو كره المجرمون,"GOD establishes the truth with His words, despite the criminals."
10,83,فما آمن لموسى إلا ذرية من قومه على خوف من فرعون وملئهم أن يفتنهم ۚ وإن فرعون لعال في الأرض وإنه لمن المسرفين,"None believed with Moses except a few of his people, while fearing the tyranny of Pharaoh and his elders. Surely, Pharaoh was much too arrogant on earth, and a real tyrant."
10,84,وقال موسى يا قوم إن كنتم آمنتم بالله فعليه توكلوا إن كنتم مسلمين,"Moses said, ""O my people, if you have really believed in GOD, then put your trust in Him, if you are really submitters."""
10,85,فقالوا على الله توكلنا ربنا لا تجعلنا فتنة للقوم الظالمين,"They said, ""We trust in GOD. Our Lord, save us from the persecution of these oppressive people."
10,86,ونجنا برحمتك من القوم الكافرين,"""Deliver us, with Your mercy, from the disbelieving people."""
10,87,وأوحينا إلى موسى وأخيه أن تبوآ لقومكما بمصر بيوتا واجعلوا بيوتكم قبلة وأقيموا الصلاة ۗ وبشر المؤمنين,"We inspired Moses and his brother. ""Maintain your homes in Egypt for the time being, turn your homes into synagogues, and maintain the Contact Prayers (Salat). Give good news to the believers."""
10,88,وقال موسى ربنا إنك آتيت فرعون وملأه زينة وأموالا في الحياة الدنيا ربنا ليضلوا عن سبيلك ۖ ربنا اطمس على أموالهم واشدد على قلوبهم فلا يؤمنوا حتى يروا العذاب الأليم,"Moses said, ""Our Lord, You have given Pharaoh and his elders luxuries and wealth in this world. Our Lord, they only use them to repulse others from Your path. Our Lord, wipe out their wealth, and harden their hearts to prevent them from believing, until they see the painful retribution."""
10,89,قال قد أجيبت دعوتكما فاستقيما ولا تتبعان سبيل الذين لا يعلمون,"He said, ""Your prayer has been answered (O Moses and Aaron), so be steadfast, and do not follow the ways of those who do not know."""
10,9,إن الذين آمنوا وعملوا الصالحات يهديهم ربهم بإيمانهم ۖ تجري من تحتهم الأنهار في جنات النعيم,"As for those who believe and lead a righteous life, their Lord guides them, by virtue of their belief. Rivers will flow beneath them in the gardens of bliss."
10,90,وجاوزنا ببني إسرائيل البحر فأتبعهم فرعون وجنوده بغيا وعدوا ۖ حتى إذا أدركه الغرق قال آمنت أنه لا إله إلا الذي آمنت به بنو إسرائيل وأنا من المسلمين,"We delivered the Children of Israel across the sea. Pharaoh and his troops pursued them, aggressively and sinfully. When drowning became a reality for him, he said, ""I believe that there is no god except the One in whom the Children of Israel have believed; I am a submitter."""
10,91,آلآن وقد عصيت قبل وكنت من المفسدين,"""Too late!± For you have rebelled already, and chose to be a transgressor."
10,92,فاليوم ننجيك ببدنك لتكون لمن خلفك آية ۚ وإن كثيرا من الناس عن آياتنا لغافلون,"""Today, we will preserve your body, to set you up as a lesson for future generations.""± Unfortunately, many people are totally oblivious to our signs."
10,93,ولقد بوأنا بني إسرائيل مبوأ صدق ورزقناهم من الطيبات فما اختلفوا حتى جاءهم العلم ۚ إن ربك يقضي بينهم يوم القيامة فيما كانوا فيه يختلفون,"We have endowed the Children of Israel with a position of honor, and blessed them with good provisions. Yet, they disputed when this knowledge came to them. Your Lord will judge them on the Day of Resurrection regarding everything they disputed."
10,94,فإن كنت في شك مما أنزلنا إليك فاسأل الذين يقرءون الكتاب من قبلك ۚ لقد جاءك الحق من ربك فلا تكونن من الممترين,"If you have any doubt regarding what is revealed to you from your Lord, then ask those who read the previous scripture. Indeed, the truth has come to you from your Lord. Do not be with the doubters."
10,95,ولا تكونن من الذين كذبوا بآيات الله فتكون من الخاسرين,"Nor shall you join those who rejected GOD's revelations, lest you be with the losers."
10,96,إن الذين حقت عليهم كلمت ربك لا يؤمنون,"Surely, those condemned by a decree from your Lord cannot believe."
10,97,ولو جاءتهم كل آية حتى يروا العذاب الأليم,"No matter what kind of proof you show them, (they cannot believe), until they see the painful retribution."
10,98,فلولا كانت قرية آمنت فنفعها إيمانها إلا قوم يونس لما آمنوا كشفنا عنهم عذاب الخزي في الحياة الدنيا ومتعناهم إلى حين,"Any community that believes will surely be rewarded for believing. For example, the people of Jonah: when they believed, we relieved the humiliating retribution they had been suffering in this world, and we made them prosperous."
10,99,ولو شاء ربك لآمن من في الأرض كلهم جميعا ۚ أفأنت تكره الناس حتى يكونوا مؤمنين,"Had your Lord willed, all the people on earth would have believed.± Do you want to force the people to become believers?"
100,0,بسم الله الرحمن الرحيم,"In the name of GOD, Most Gracious, Most Merciful."
100,1,بسم الله الرحمن الرحيم والعاديات ضبحا,By the fast gallopers.
100,10,وحصل ما في الصدور,And all secrets are brought out.
100,11,إن ربهم بهم يومئذ لخبير,"They will find out, on that day, that their Lord has been fully Cognizant of them."
100,2,فالموريات قدحا,Igniting sparks.
100,3,فالمغيرات صبحا,Invading (the enemy) by morning.
100,4,فأثرن به نقعا,Striking terror therein.
