Type,Name,Value
AUDIO,media/messenger_quran_studies/26) Quran Study - Q.67 - Hamid Argues With Rashad.mp3,63804572
AUDIO,media/messenger_quran_studies/27) Quran Study - Q.14:18, Q.17:47 - Chastity, Salat As A Gift, DOJ, Quran Traps.mp3,104424212
AUDIO,media/messenger_quran_studies/28) Quran Study - Q.45:33 - 19 Math.mp3,28198484
AUDIO,media/messenger_quran_studies/29) Quran Study - 1985 Tucson, Mehri's Questions, Admission Test & Final Test.mp3,74098748
AUDIO,media/messenger_quran_studies/3) Quran Study - Q.10:79-92, Q.73, Q.3:110-117, RK Sermon (01-19&26-1990).mp3,132037100
AUDIO,media/messenger_quran_studies/30) Quran Study - Q.28, Q.57, Q.45:33 - Insurance, Rashad Told To Devote All Time To God (01-1990).mp3,72052028
AUDIO,media/messenger_quran_studies/31) Quran Study - Q.18:98, Q.81 - Azan & Salat (11-04-1989).mp3,93190700
AUDIO,media/messenger_quran_studies/32) Quran Study - Q.22:15 - Which Masjids To Pray In.mp3,19030245
AUDIO,media/messenger_quran_studies/33) Quran Study - Q.74 (06-02-1989).mp3,73364612
AUDIO,media/messenger_quran_studies/34) Quran Study - Q.33 - God Is Physical Innovations-Praying & Prostrating After Salat.mp3,56980844
AUDIO,media/messenger_quran_studies/35) Quran Study - Rashad Makes Deliberate Mistakes To Destroy Idols (11-09-1989).mp3,56980844
AUDIO,media/messenger_quran_studies/36) Quran Study - Q.30:25 - Miracle From Biggest Brewery, Intercession, Allegory.mp3,59754140
AUDIO,media/messenger_quran_studies/37) Quran Study - Q.11:68 (11-04-1989).mp3,59754140
AUDIO,media/messenger_quran_studies/38) Quran Study - Certainty (11-29).mp3,43675628
AUDIO,media/messenger_quran_studies/39) Quran Study - Q.60-61 - Rich Believer, Certainty, Insurance (12-28-1989).mp3,77452172
AUDIO,media/messenger_quran_studies/4) Quran Study - Q.37, Q.3:118-129 - Asteroid (01-21&22-1990).mp3,131919966
AUDIO,media/messenger_quran_studies/40) Quran Study - Q.3:59 (12-29-1989).mp3,77452172
AUDIO,media/messenger_quran_studies/41) Quran Study - Al-Fatiha For Everything You Wish, Extreme Libertarianism.mp3,41575340
AUDIO,media/messenger_quran_studies/42) Quran Study - Interview W-Rashad by Ray Caton, Insurance, Interest.mp3,93350156
AUDIO,media/messenger_quran_studies/43) Quran Study - Q.17:39 - 3rd Intl Conf, Rashad Speech, Insurance Based On Fear (11-1988).mp3,93350156
AUDIO,media/messenger_quran_studies/44) Quran Study - Q.64, Q.70 - Nothing Happens, Worry, Chastity.mp3,35898620
AUDIO,media/messenger_quran_studies/45) Quran Study - Q.40 - Deja Vu, Old Believers Usually Finish All Affairs Before Departing.mp3,88140476
AUDIO,media/messenger_quran_studies/46) Quran Study - Q.37:159, Q.38:25, Q.9:50, Q.39:11 - Admission Test, No Insurance Compromise, Jinns, Hypocrites, Apology.mp3,118698464
AUDIO,media/messenger_quran_studies/47) Quran Study - Q.1, Q.2 - Intro to Blue Quran.mp3,92314124
AUDIO,media/messenger_quran_studies/48) Quran Study - Rashad's Speech - Salat, Zakat, Fazeli Argues (01-11-1989).mp3,131754464
AUDIO,media/messenger_quran_studies/49) Quran Study - Rashad's Speech, 19 Math (11-05-1989).mp3,58741174
AUDIO,media/messenger_quran_studies/5) Quran Study - Q.56:75 & Q.57 (02-17-1989).mp3,73479241
AUDIO,media/messenger_quran_studies/50) Quran Study - Q.92-94 - Zakat Not Limited To Earned Income.mp3,88067489
AUDIO,media/messenger_quran_studies/51) Quran Study - Q.17:59 (1990).mp3,68277540
AUDIO,media/messenger_quran_studies/52) Quran Study - Q.1-2 (05-09-1989).mp3,90180572
AUDIO,media/messenger_quran_studies/52_temp_52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial.mp3,25906510
AUDIO,media/messenger_quran_studies/6) Quran Study - Q.59 - PRA, Invisible Giants, Hypocrites (03-10-1989).mp3,49020928
AUDIO,media/messenger_quran_studies/7) Quran Study - Q.62 & Q.63 - God's Religion Will Dominate (03-24-1989).mp3,38797312
AUDIO,media/messenger_quran_studies/8) Quran Study - Q.65 & Q.66 - Enjoin Kids To Do Salat, Hamid Argues (04-07-1989).mp3,78899754
AUDIO,media/messenger_quran_studies/9) Quran Study - Q.70 - Chastity, Worry, Edip's Translation Request (05-12-1989).mp3,27288900
TRANSCRIPT,030cfda5-4219-4577-8ccd-6a14d533be89.json,2837.225
TRANSCRIPT,04a600d9-edee-43d5-86d2-97638fce3c48.json,3155.35
TRANSCRIPT,069203b6-85eb-4f3a-a635-df78af027e6c.json,3658.476
TRANSCRIPT,07101d2a-8099-4222-bf1b-fc0a7a9cf92f.json,4541.828
TRANSCRIPT,09b9fcbd-8511-4b20-bb6f-eb483adb6ea6.json,4549.505
TRANSCRIPT,0d4a7f7d-54f0-4bcc-890c-844ad3e958f8.json,3483.628
TRANSCRIPT,165b5aa9-e4f8-41a2-9b71-00efed19fb36.json,4204.902
TRANSCRIPT,1dd444ed-577b-4be6-9e12-8768ae41c591.json,3133.843
TRANSCRIPT,1e35c981-8713-4ad1-bf68-b6892bfc9c5d.json,1075.358
TRANSCRIPT,25bcf602-9ade-4eb7-8013-eba21d81a2ce.json,4775.871
TRANSCRIPT,2df72d3f-b889-4d38-87c2-a2919ef6b3f4.json,5064.123
TRANSCRIPT,2e3df33c-b1c8-4a18-a832-426a99a936a5.json,3040.024
TRANSCRIPT,2f200865-505c-4525-9c66-0a9ab3a150d8.json,5590.68
TRANSCRIPT,434903e1-f807-43dc-b391-6b5db547e413.json,3754.317
TRANSCRIPT,477b5794-fda8-44e0-afd8-cc39867e5260.json,4656.79
TRANSCRIPT,4a36f92b-65e7-4d15-b24c-e05a2a3fc651.json,4423.968
TRANSCRIPT,4aba34cf-0de3-48b5-a2e1-d78a99b2faf2.json,4405.105
TRANSCRIPT,4c3efa2a-3e9b-4a5b-b463-cbd204c1fd38.json,3594.32862162162
TRANSCRIPT,54fb822f-6375-4bfc-ab57-27735973846b.json,4518.632
TRANSCRIPT,565fe52d-447c-44e8-b985-520f399d07db.json,3480.92
TRANSCRIPT,5f40cfa7-af8a-43f8-b1c6-569e7a744a22.json,3383.4
TRANSCRIPT,65f38666-2cdc-4808-956f-94bff120eb29.json,4126.301
TRANSCRIPT,7490e2b5-72f0-4e44-88bc-f3286cef4085.json,3287.4
TRANSCRIPT,77afe984-7c71-4e8a-bc16-984347cef09d.json,4236.619
TRANSCRIPT,86de7dd1-e456-42ab-8e3e-7070e26cdb3e.json,4744.76
TRANSCRIPT,885d55fa-688b-499d-9e1e-7c18bdb9f9dd.json,4580.89
TRANSCRIPT,8e5e8e0b-4ed7-4d7e-972b-4bf87030aab6.json,755.922
TRANSCRIPT,932af70c-2d8f-4523-909d-617725309694.json,3727.875
TRANSCRIPT,973a702e-d1f0-45d5-9a12-504fca367e5a.json,5006.52
TRANSCRIPT,9c80976b-a1f8-471d-af23-ad19efa03a60.json,3635.839
TRANSCRIPT,9caf431b-09b7-4255-887d-d06aaed96a3f.json,4854.769
TRANSCRIPT,a503f710-f2be-47a9-9399-a55f4a80b79f.json,3250.72
TRANSCRIPT,b88ef8ba-c7a2-4a76-8b66-2afe56d1d4e2.json,5439.045
TRANSCRIPT,bae1fbef-3d5a-4026-b4de-d35c269069bf.json,3729.64
TRANSCRIPT,bb16b5d1-09cf-45b6-a873-24c69825acb4.json,4292.05
TRANSCRIPT,be31dcef-bc02-4d6f-aad5-0c52027be4f7.json,5340.205
TRANSCRIPT,c196a72e-64ed-43e9-b84a-bbe4a204d998.json,4063.929
TRANSCRIPT,c7e2d2ef-6580-4cb8-bd6d-0668bdefd6f4.json,4405.773
TRANSCRIPT,d06a545e-f518-4fae-8d3b-05539be05599.json,4696.002
TRANSCRIPT,d0a35831-852d-4225-a1db-72173b5d12a5.json,2415.43087179487
TRANSCRIPT,da945694-e73a-43c1-abf0-5be3866fe201.json,2444.859
TRANSCRIPT,dc3160f7-f580-4b24-9c78-be1b1782282d.json,4058.448
TRANSCRIPT,dfb4f1c9-1e8c-4f01-8c59-fa0e7c4b0eac.json,4269.675
TRANSCRIPT,e6dfe45f-49cb-4b61-ba66-73e67181269f.json,4865.548
TRANSCRIPT,f192ee51-aac2-4868-83ab-d20e2d3d6f78.json,2980.44
TRANSCRIPT,f2ecc3b1-232f-4e83-8de5-3122547397ce.json,3807.58752631579
TRANSCRIPT,f31d80f8-dac6-4fd0-a8e4-c96b84aba01b.json,4698.943
TRANSCRIPT,fbf2039f-ef3a-45c6-b3a8-64719e6983ca.json,4406.126
TRANSCRIPT,fdb5de86-6925-4c39-b3fc-b16a03dfa79f.json,4735.444
TRANSCRIPT,fdba486b-a98c-4eed-9c2c-f50eb84b99ff.json,3257.887
TRANSCRIPT,ff9f95c7-acf2-4e30-9e7f-0edb2a693168.json,3149.985
