appendix	section	total	multiplier	context
appendix-24	31	2698	142	unless we remove one. The count of the word "God" is shown at the bottom of each page in this translation. The total shown at the end of the Quran is 2698, 19x142,
appendix-24	33	1273	67	[3] As shown at the end of Sura 9 in this translation, the total occurrence of the word "God" to the end of Sura 9 is 1273, 19x67
appendix-24	34	2641	139	n, Table 1 shows the 57 occurrences of the word "God" in that section. Subtracting 57 from the total occurrence of the word "God" gives us 2698- 57 = 2641 = 19x139,
appendix-24	37	1045	55	tialed suras, we find that the word "God" occurs in 57 of these suras, 19x3. The total number of verses in the suras where the word "God" is found is 1045, 19x55
appendix-24	40	342	18	0 10. 18 14 11. 19 8 12. 20 6 13. 21 5 14. 22 50 15. 23 12 16. 24 50 17. 25 6 18. 26 13 19. 27 6 19 342 513 No. of suras = 19, Total of sura numbers =342 =19x18
appendix-24	40	513	27	13. 21 5 14. 22 50 15. 23 12 16. 24 50 17. 25 6 18. 26 13 19. 27 6 19 342 513 No. of suras = 19, Total of sura numbers =342 =19x18 Total of verses = 513 = 19 x 27
appendix-24	41	95	5	[7] The word "Elaah" which means "god" occurs in Verses 9:129. The total occurrence of this word in the Quran is 95, 19x5
appendix-24	42	114	6	from counting is in 12:50, since it refers to the "messenger of Pharaoh," not the messenger of God. Thus, the total occurrence of "Rasool" of God is 114, 19x6
appendix-24	46	6346	334	[12] The Quran contains 6234 numbered verses and 112 un-numbered verses (Basmalahs). Thus, the total number of verses in the Quran is 6346, 19x334
appendix-24	54	703	37	dding the sura numbers of all un-initialed suras (85 suras), plus their number of verses, from the beginning of the Quran to the end of Sura 9 we get 703, 19x37
appendix-24	59	116090	6110	Sura No. No. of Verses Sum of Verse #'s Total 9 127 8128 8264 16 128 8256 8400 - - - - 113 5 15 133 114 6 21 141 ------ 116090 (19x6110
appendix-24	62	207670	10930	Sura No. No. of Verses Sum of Verse #s Total 9 127 8128 8264 10 109 5995 6114 - - - - 73 20 210 303 74 30 465 569 2739 4288 200643 207670 (19x10930
appendix-24	64	2470	130	, from the missing Basmalah of Sura 9, to the extra Basmalah of Sura 27. If Sura 9 consisted of 129 verses, the grand total would be 2472, instead of 2470 (19x130
appendix-24	70	23655	1245	29 435 512 52 49 1225 1326 57 29 435 521 81 29 435 545 82 19 190 291 87 19 190 296 96 19 190 305 104 9 45 158 ----- ----- ------ ------ 748 627 22280 23655 (19x1245
appendix-24	72	2546	134	in the Quran, and count all the 1's we see. This means the 1's we see in verses 1, 10, 11, 12, 13... 21, 31, and so on. The total count of the 1's is 2546 (19x134
appendix-24	73	1406	74	Sura No. No. of Verses No. of 1's 1 7 1 4 176 115 - - - 9 127 61 - - - 113 5 1 114 6 1 ---- 1406 (19x74
appendix-24	78	5928	312	n Table 11, the total count of all the 2's, 8's, and 9's is 3382, or 19x178. This makes the grand total of all the 1's, 2's, 8's, and 9's 2546+3382 = 5928, 19x312
appendix-24	81	1881	99	f verses add up to 1+2+7=10. The total for all 114 suras is 906. Thus, the grand total for the sum of digits of all the suras and verses is 975+906 = 1881 = 19x99
appendix-24	86	7771	409	- ------ -------------- 1 7 1 x 7 = 7 2 286 2 x 16 = 32 3 200 3 x 2 = 6 - - - - - 9 127 9 x 10 = 90 - - - - 114 6 6 6 = 36 ----- ----- ------ 975 906 7771 (19x409
appendix-24	89	437	23	ut the calculations described above for the odd-numbered suras only, we find that the total for the suras is 513 (19x27), the total for the verses is 437 (19x23
appendix-24	89	950	50	d suras only, we find that the total for the suras is 513 (19x27), the total for the verses is 437 (19x23), and the grand total for both is 513+437 = 950 (19x50
appendix-24	92	10963	577	Sura No. No. of Verses Total 1 7 8 5 120 125 8 75 83 9 127 136 - - - 113 5 118 114 6 120 ---- ----- ------ 6434 4529 10963 (19x577
appendix-24	93	2774	146	75, 89, 37, 29, 11, 29, 19, 15, 11, 5, 11, 3, 5, 7, 5, and 5 verses, respectively. The sum of these sura numbers, plus their sum of verse numbers is 2774, 19x146
appendix-24	94	266	14	you add the digits of these suras, you get 137, while the digits of the verses add up to 129. This makes the grand total of all the digits 137+129 = 266 = 19x14
appendix-24	96	836	44	Sura No. No. of Verses Total 5 120 125 6 165 171 11 123 134 12 111 123 17 111 128 20 135 155 ---- ----- ----- 71 765 836 (19x44
appendix-24	104	1577	83	Sura No. No. of Verses 2 286 3 200 4 176 6 165 7 206 20 135 26 227 37 182 ----- 1577 (19x83
appendix-24	110	1159	61	"2." Let us consider all the suras whose number of verses contains the digits 1 and 2. By adding the sura numbers plus the numbers of verses, we get 1159, 19x61
appendix-24	115	247	13	hese traits: Sura 5 is a single-digit sura, and it consists of 120 verses. As shown in Table 19, the number of verses in these two suras is 120+127 = 247 = 19x13
appendix-24	126	1216	64	No. No. of Verses Total 9 127 136 22 78 100 26 227 253 45 37 82 54 55 109 64 18 82 72 28 100 77 50 127 78 40 118 84 25 109 ----- ----- ----- 531 685 1216 (19x64
appendix-24	146	627	33	with the Quran's code only if Sura 9 is excluded; it does not consist of 129 verses. Without Sura 9, the total number of verses in these 13 suras is 627, 19x33
appendix-24	154	646	34	Sura No. No. of Verses Total 15 99 114 29 69 98 43 89 132 57 29 86 81 29 110 87 19 106 ---- ----- ----- 312 334 646 (19x34
appendix-24	156	798	42	ers of verses are 7, 127, 77, 227, 37, 17, and 7 verses, respectively. The grand total of sura numbers plus number of verses for these seven suras is 798, 19x42
appendix-24	163	38	2	As shown in Table 26, the total number of the digit "7" among the last two verses of every sura in the Quran is 38, 19x2
appendix-24	187	6897	363	Sura No. Last 2 Verses Total 1 6+7 13 4 175+176 351 5 119+120 239 - - - 9 126+127 253 - - - 114 5+6 13 ------ 6897 (19x363
appendix-24	200	1824	96	es Sum of the Digits 1 6,7 6 + 7 2 285,286 2+8+5+2+8+6 3 199,200 1+9+9+2+0+0 - - - 9 126,127 1+2+6+1+2+7 - - 113 4,5 4 + 5 114 5,6 5 + 6 ------------ 1824 = 19x96
appendix-24	210	76	4	, and 182, respectively. By taking the last digit in each number of verses, and adding up these digits, we get 6+0+6+0+5+ 6+7+9+3+1+8+1+0+5+2+8+7+2 = 76 = 19x4
appendix-24	217	361	19	Sura No. No. of Verses 9 127 11 123 17 111 ------ 361 (19x19
appendix-24	232	8569	451	e false verses (128 & 129) from Sura 9, and repeat the same calculations. The result of this correction is shown in Table 34. The grand total becomes 8569, 19x451
appendix-24	247	34485	1815	l 9 127 8128 8264 25 77 3003 3105 27 93 4371 4491 37 182 16653 16872 68 52 1378 1498 94 8 36 138 97 5 15 117 ----- ------ ------ ------ 357 544 33584 34485 (19x1815
appendix-24	274	2128	112	1 12. 28 70,88 2 13. 35 3 1 14. 39 6 1 15. 40 3,62,65 3 16. 44 8 1 17. 59 22,23 2 18. 64 13 1 19. 73 9 1 ----- ------- ---- 507 1592 29 507+1592+29 = 2128 = 19x112
appendix-24	279	316502	16658	tal 2 123 27675 27800 (286-163) 3 200 20100 20303 - - - - 9 127 8128 8264 - - - - 72 28 406 506 73 9 45 127 ---- ----- ------ ------ 2700 5312 308490 316502 (19x16658
appendix-24	290	323	17	Sura No. Verse Numbers With Phrase 9 31 11 14 13 30 20 8 20 98 23 116 27 26 ---- 323 (19x17
appendix-24	307	988	52	[67] The number of verses from 3:81, where God's Messenger of the Covenant is prophesied, to 9:127, the end of Sura 9, is 988 (19x52
appendix-24	316	912	48	Sura No. Frequency of "God" 3 132 4 229 5 147 6 87 7 61 8 88 9 168 ----- 912 (19x48
appendix-25	15	1710	90	ar years from the time this prophecy is stated in the Quran. This means that the world will end in the year 1710 AH. This number is a multiple of 19; 1710 = 19x90
appendix-26	4	855	45	endix 2, the gematrical value of "Abraham" is 258, the gematrical value of "Muhammad" is 92, the gematrical value of "Rashad" is 505, and 258+92+505 =855 = 19x45
appendix-26	5	1235	65	de "Ismail," whose gematrical value is 211 and "Isaac," whose gematrical value is 169, we still end up with a total gematrical value of 855+211+169 = 1235 = 19x65
appendix-26	6	333260	17540	dding the sura numbers, plus the number of verses, plus the sum of verse numbers from the first occurrence to the last occurrence, the grand total is 333260, 19x17540
appendix-26	10	38	2	[5] "Abraham" is mentioned in 25 suras, "Muhammad" is mentioned in 4 suras, and "Rashada" occurs in 9 suras. The total of these suras is 25+4+9 = 38 = 19x2
appendix-26	14	2793	147	e mentioned, and add the sura numbers, plus the number of the first verse in each sura where each of the three words is mentioned, the total comes to 2793, 19x147
appendix-26	17	6479	341	[8] The sum of all sura numbers where the three words occur, without repetition, plus the sum of all the verse numbers, without repetition, add up to 6479, 19x341
appendix-26	18	7505	395	we add the sura number, plus the verse number, plus the number of verses where Abraham, Muhammad, and Rashada occur, we get a grand total that equals 7505, 19x395
appendix-26	23	2375	125	erse numbers (1145), to the gematrical value of the name "Rashad" (505), plus the gematrical value of the name "Khalifa" (725), we get 1145+505+725 = 2375, 19x125
appendix-29	4	114	6	ted for in Sura 27. Two Basmalahs occur in Sura 27, one as an opener and one in Verse 30. This restores the total number of Basmalahs in the Quran to 114, 19x6
appendix-29	6	342	18	[3] The sum of sura numbers from the missing Basmalah (Sura 9) to the extra Basmalah (Sura 27) is 9+10+11+12+ ... +25+26+27 = 342, 19x18
appendix-29	7	57	3	occurrence of the extra Basmalah in 27:30 conforms with the Quran's code in that the sura number, plus the verse number is a multiple of 19 (27+30 = 57 = 19x3
appendix-29	9	6346	334	27 gives us two numbered Basmalahs, 1:1 & 27:30, and 112 un-numbered Basmalahs. This causes the total number of verses in the Quran to be 6234+112 = 6346, 19x334
appendix-29	10	513	27	[7] From the missing Basmalah to the extra Basmalah, the number of verses containing the word "Allah" is 513, 19x27
appendix-29	13	119624	6296	[8] The sum of verse numbers (1+2+3+ ... +n), plus the number of verses, from the missing Basmalah to the extra Basmalah is 119624, 19x6296
appendix-29	19	2128	112	8 12 17 111 10 18 110 10 19 98 9 20 135 12 21 112 10 22 78 7 23 118 11 24 64 6 25 77 7 26 227 22 27 29 2 --- ---- --- 342 1951 177 (19x18) & 1951+177=2128=19x112
introduction	45	2698	142	Total Count of the Word "God" (Shown at the lower left corner of every page) 2698 (19x142
introduction	45	118123	6217	tal Count of the Word "God" (Shown at the lower left corner of every page) 2698 (19x142) Total Sum of Verse Numbers (Shown at the lower right corner) 118123 (19x6217
