verse_index,verse_id,chapter_number,verse_number,chapter_verses,verse_id_arabic,english_1989,arabic_uthmani,pdf_page_1989,printed_page_1989,english_bbox,english_transcription_source,english_transcription_note,arabic_alignment_note
1479,10:109,10,109,109,١٠٩:١٠,"Follow what is revealed to you, and be patient until GOD issues His judgment; He is the best judge. s",وَٱتَّبِعْ مَا يُوحَىٰٓ إِلَيْكَ وَٱصْبِرْ حَتَّىٰ يَحْكُمَ ٱللَّهُ ۚ وَهُوَ خَيْرُ ٱلْحَـٰكِمِينَ,240,221,"[42.1, 165.639, 422.171, 203.851]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1381,10:11,10,11,109,١١:١٠,"If GOD hastened the retribution incurred by the people, the way they demand bounties, they would have been annihilated long ago. However, we leave those who do not believe in meeting us in their transgressions, blundering.",وَلَوْ يُعَجِّلُ ٱللَّهُ لِلنَّاسِ ٱلشَّرَّ ٱسْتِعْجَالَهُم بِٱلْخَيْرِ لَقُضِىَ إِلَيْهِمْ أَجَلُهُمْ ۖ فَنَذَرُ ٱلَّذِينَ لَا يَرْجُونَ لِقَآءَنَا فِى طُغْيَـٰنِهِمْ يَعْمَهُونَ,228,209,"[41.9, 323.339, 252.443, 421.397]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1382,10:12,10,12,109,١٢:١٠,"When adversity touches the human being, he implores us while lying down, or sitting, or standing up. But as soon as we relieve his adversity, he goes on as if he never implored us to relieve it! The works of the transgressors are thus adorned in their eyes.",وَإِذَا مَسَّ ٱلْإِنسَـٰنَ ٱلضُّرُّ دَعَانَا لِجَنۢبِهِۦٓ أَوْ قَاعِدًا أَوْ قَآئِمًا فَلَمَّا كَشَفْنَا عَنْهُ ضُرَّهُۥ مَرَّ كَأَن لَّمْ يَدْعُنَآ إِلَىٰ ضُرٍّ مَّسَّهُۥ ۚ كَذَٰلِكَ زُيِّنَ لِلْمُسْرِفِينَ مَا كَانُوا۟ يَعْمَلُونَ,228,209,"[41.65, 430.551, 245.552, 543.199]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1383,10:13,10,13,109,١٣:١٠,"Many a generation we have annihilated before them when they transgressed. Their messengers had gone to them with clear proofs, but they refused to believe. We thus requite the guilty people.",وَلَقَدْ أَهْلَكْنَا ٱلْقُرُونَ مِن قَبْلِكُمْ لَمَّا ظَلَمُوا۟ ۙ وَجَآءَتْهُمْ رُسُلُهُم بِٱلْبَيِّنَـٰتِ وَمَا كَانُوا۟ لِيُؤْمِنُوا۟ ۚ كَذَٰلِكَ نَجْزِى ٱلْقَوْمَ ٱلْمُجْرِمِينَ,228,209,"[41.4, 551.851, 294.472, 621.951]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1384,10:14,10,14,109,١٤:١٠,"Then we made you inheritors of the earth after them, to see how you will do.",ثُمَّ جَعَلْنَـٰكُمْ خَلَـٰٓئِفَ فِى ٱلْأَرْضِ مِنۢ بَعْدِهِمْ لِنَنظُرَ كَيْفَ تَعْمَلُونَ,228,209,"[40.45, 647.151, 459.994, 659.151]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1385,10:15,10,15,109,١٥:١٠,"When our revelations are recited to them, those who do not expect to meet us say, “Bring a Quran* other than this, or change it!” Say, “I cannot possibly change it on my own. I simply follow what is revealed to me. I fear, if I disobey my Lord, the retribution of an awesome day.”",وَإِذَا تُتْلَىٰ عَلَيْهِمْ ءَايَاتُنَا بَيِّنَـٰتٍ ۙ قَالَ ٱلَّذِينَ لَا يَرْجُونَ لِقَآءَنَا ٱئْتِ بِقُرْءَانٍ غَيْرِ هَـٰذَآ أَوْ بَدِّلْهُ ۚ قُلْ مَا يَكُونُ لِىٓ أَنْ أُبَدِّلَهُۥ مِن تِلْقَآئِ نَفْسِىٓ ۖ إِنْ أَتَّبِعُ إِلَّا مَا يُوحَىٰٓ إِلَىَّ ۖ إِنِّىٓ أَخَافُ إِنْ عَصَيْتُ رَبِّى عَذَابَ يَوْمٍ عَظِيمٍ,229,210,"[40.2, 43.901, 450.476, 98.95]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1386,10:16,10,16,109,١٦:١٠,"Say, “Had GOD willed, I would have never recited it to you, nor would you have known anything about it. I have lived among you a whole life before this. Do you not understand?”",قُل لَّوْ شَآءَ ٱللَّهُ مَا تَلَوْتُهُۥ عَلَيْكُمْ وَلَآ أَدْرَىٰكُم بِهِۦ ۖ فَقَدْ لَبِثْتُ فِيكُمْ عُمُرًا مِّن قَبْلِهِۦٓ ۚ أَفَلَا تَعْقِلُونَ,229,210,"[40.45, 107.939, 375.056, 164.252]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1387,10:17,10,17,109,١٧:١٠,"Who is more evil than one who fabricates lies about GOD, or rejects His revelations. Certainly, such criminals never succeed.",فَمَنْ أَظْلَمُ مِمَّنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ كَذِبًا أَوْ كَذَّبَ بِـَٔايَـٰتِهِۦٓ ۚ إِنَّهُۥ لَا يُفْلِحُ ٱلْمُجْرِمُونَ,229,210,"[40.7, 173.252, 229.204, 229.3]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1388,10:18,10,18,109,١٨:١٠,"They worship besides GOD idols that possess no power to harm them or benefit them, and they say, “These are our intercessors at GOD!” Say, “Are you informing GOD of something He does not know in the heavens or the earth?” Be He glorified. He is the Most High; far above needing partners.",وَيَعْبُدُونَ مِن دُونِ ٱللَّهِ مَا لَا يَضُرُّهُمْ وَلَا يَنفَعُهُمْ وَيَقُولُونَ هَـٰٓؤُلَآءِ شُفَعَـٰٓؤُنَا عِندَ ٱللَّهِ ۚ قُلْ أَتُنَبِّـُٔونَ ٱللَّهَ بِمَا لَا يَعْلَمُ فِى ٱلسَّمَـٰوَٰتِ وَلَا فِى ٱلْأَرْضِ ۚ سُبْحَـٰنَهُۥ وَتَعَـٰلَىٰ عَمَّا يُشْرِكُونَ,229,210,"[40.9, 237.889, 242.592, 366.951]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1389,10:19,10,19,109,١٩:١٠,"The people used to be one congregation, until they disputed. If it were not for a predetermined word from your Lord, they would have been judged regarding their disputes.",وَمَا كَانَ ٱلنَّاسُ إِلَّآ أُمَّةً وَٰحِدَةً فَٱخْتَلَفُوا۟ ۚ وَلَوْلَا كَلِمَةٌ سَبَقَتْ مِن رَّبِّكَ لَقُضِىَ بَيْنَهُمْ فِيمَا فِيهِ يَخْتَلِفُونَ,229,210,"[41.15, 375.552, 234.108, 458.35]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1372,10:2,10,2,109,٢:١٠,"Is it too much of a wonder for the people that we inspired a man like them? He is told: “You shall warn the people, and give good news to those who believed that they have attained a position of prominence at their Lord.” The disbelievers said, “This is a clever magician!”",أَكَانَ لِلنَّاسِ عَجَبًا أَنْ أَوْحَيْنَآ إِلَىٰ رَجُلٍ مِّنْهُمْ أَنْ أَنذِرِ ٱلنَّاسَ وَبَشِّرِ ٱلَّذِينَ ءَامَنُوٓا۟ أَنَّ لَهُمْ قَدَمَ صِدْقٍ عِندَ رَبِّهِمْ ۗ قَالَ ٱلْكَـٰفِرُونَ إِنَّ هَـٰذَا لَسَـٰحِرٌ مُّبِينٌ,227,208,"[39.95, 153.201, 453.11, 225.201]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1390,10:20,10,20,109,٢٠:١٠,"They say, “How come no miracle came down to him from his Lord?” Say, “The future belongs to GOD; so wait, and I am waiting with you.”",وَيَقُولُونَ لَوْلَآ أُنزِلَ عَلَيْهِ ءَايَةٌ مِّن رَّبِّهِۦ ۖ فَقُلْ إِنَّمَا ٱلْغَيْبُ لِلَّهِ فَٱنتَظِرُوٓا۟ إِنِّى مَعَكُم مِّنَ ٱلْمُنتَظِرِينَ,229,210,"[40.2, 498.102, 243.278, 554.151]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1391,10:21,10,21,109,٢١:١٠,"When we bestow mercy upon the people, after adversity had afflicted them, they immediately scheme against our revelations! Say, “GOD’s scheming is far more effective. For our messengers are recording everything you scheme.”",وَإِذَآ أَذَقْنَا ٱلنَّاسَ رَحْمَةً مِّنۢ بَعْدِ ضَرَّآءَ مَسَّتْهُمْ إِذَا لَهُم مَّكْرٌ فِىٓ ءَايَاتِنَا ۚ قُلِ ٱللَّهُ أَسْرَعُ مَكْرًا ۚ إِنَّ رُسُلَنَا يَكْتُبُونَ مَا تَمْكُرُونَ,230,211,"[42.35, 44.501, 366.177, 114.701]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1392,10:22,10,22,109,٢٢:١٠,"He is the One who moves you across the land and sea. You get onto the ships, and they sail smoothly in nice breeze. Then, while rejoicing therein, violent wind blows, and the waves surround them from every side. This is when they implore GOD, sincerely devoting their prayers to Him alone: “If You only save us this time, we will be appreciative.”",هُوَ ٱلَّذِى يُسَيِّرُكُمْ فِى ٱلْبَرِّ وَٱلْبَحْرِ ۖ حَتَّىٰٓ إِذَا كُنتُمْ فِى ٱلْفُلْكِ وَجَرَيْنَ بِهِم بِرِيحٍ طَيِّبَةٍ وَفَرِحُوا۟ بِهَا جَآءَتْهَا رِيحٌ عَاصِفٌ وَجَآءَهُمُ ٱلْمَوْجُ مِن كُلِّ مَكَانٍ وَظَنُّوٓا۟ أَنَّهُمْ أُحِيطَ بِهِمْ ۙ دَعَوُا۟ ٱللَّهَ مُخْلِصِينَ لَهُ ٱلدِّينَ لَئِنْ أَنجَيْتَنَا مِنْ هَـٰذِهِۦ لَنَكُونَنَّ مِنَ ٱلشَّـٰكِرِينَ,230,211,"[42.35, 122.951, 393.013, 249.949]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1393,10:23,10,23,109,٢٣:١٠,"Yet, when He saves them, they transgress on earth, and oppose the truth. O people, your transgression is only against your own souls. You remain preoccupied with this worldly life, then to us is your ultimate return, then we inform you of everything you had done.",فَلَمَّآ أَنجَىٰهُمْ إِذَا هُمْ يَبْغُونَ فِى ٱلْأَرْضِ بِغَيْرِ ٱلْحَقِّ ۗ يَـٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَا بَغْيُكُمْ عَلَىٰٓ أَنفُسِكُم ۖ مَّتَـٰعَ ٱلْحَيَوٰةِ ٱلدُّنْيَا ۖ ثُمَّ إِلَيْنَا مَرْجِعُكُمْ فَنُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ,230,211,"[42.1, 258.201, 235.689, 384.197]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1394,10:24,10,24,109,٢٤:١٠,"The analogy of this worldly life is like this: we send down water from the sky, to produce with it all kinds of plants from the earth, and to provide food for the people and the animals. Then, just as the earth is perfectly adorned, and its people think that they are in control thereof, our judgment comes by night or by day,* rendering it completely barren, as if nothing existed the previous day. We thus explain the revelations for people who reflect.",إِنَّمَا مَثَلُ ٱلْحَيَوٰةِ ٱلدُّنْيَا كَمَآءٍ أَنزَلْنَـٰهُ مِنَ ٱلسَّمَآءِ فَٱخْتَلَطَ بِهِۦ نَبَاتُ ٱلْأَرْضِ مِمَّا يَأْكُلُ ٱلنَّاسُ وَٱلْأَنْعَـٰمُ حَتَّىٰٓ إِذَآ أَخَذَتِ ٱلْأَرْضُ زُخْرُفَهَا وَٱزَّيَّنَتْ وَظَنَّ أَهْلُهَآ أَنَّهُمْ قَـٰدِرُونَ عَلَيْهَآ أَتَىٰهَآ أَمْرُنَا لَيْلًا أَوْ نَهَارًا فَجَعَلْنَـٰهَا حَصِيدًا كَأَن لَّمْ تَغْنَ بِٱلْأَمْسِ ۚ كَذَٰلِكَ نُفَصِّلُ ٱلْءَايَـٰتِ لِقَوْمٍ يَتَفَكَّرُونَ,230,211,"[41.15, 393.101, 343.508, 578.252]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1395,10:25,10,25,109,٢٥:١٠,"GOD invites to the abode of peace, and guides whomever He wills in a straight path.",وَٱللَّهُ يَدْعُوٓا۟ إِلَىٰ دَارِ ٱلسَّلَـٰمِ وَيَهْدِى مَن يَشَآءُ إِلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,230,211,"[38.75, 587.089, 309.53, 614.602]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1396,10:26,10,26,109,٢٦:١٠,"As for the righteous, they have deserved a far better reward, multiplied manifold. Never will they suffer any deprivation or shame. They will be the dwellers of Paradise; they abide therein forever.",لِّلَّذِينَ أَحْسَنُوا۟ ٱلْحُسْنَىٰ وَزِيَادَةٌ ۖ وَلَا يَرْهَقُ وُجُوهَهُمْ قَتَرٌ وَلَا ذِلَّةٌ ۚ أُو۟لَـٰٓئِكَ أَصْحَـٰبُ ٱلْجَنَّةِ ۖ هُمْ فِيهَا خَـٰلِدُونَ,231,212,"[39.25, 67.651, 415.46, 108.701]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1397,10:27,10,27,109,٢٧:١٠,"As for those who earned sins, their requital is equivalent to their sin. Humiliation is their lot, and nothing, other than GOD, can protect them. Their faces will seem like masses of dark night have surrounded them. They will be the dwellers of Hell; they abide therein forever.",وَٱلَّذِينَ كَسَبُوا۟ ٱلسَّيِّـَٔاتِ جَزَآءُ سَيِّئَةٍۭ بِمِثْلِهَا وَتَرْهَقُهُمْ ذِلَّةٌ ۖ مَّا لَهُم مِّنَ ٱللَّهِ مِنْ عَاصِمٍ ۖ كَأَنَّمَآ أُغْشِيَتْ وُجُوهُهُمْ قِطَعًا مِّنَ ٱلَّيْلِ مُظْلِمًا ۚ أُو۟لَـٰٓئِكَ أَصْحَـٰبُ ٱلنَّارِ ۖ هُمْ فِيهَا خَـٰلِدُونَ,231,212,"[39.25, 117.451, 440.366, 187.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1398,10:28,10,28,109,٢٨:١٠,"On the day when we summon them all, we will say to those who worshiped idols, “We have summoned you, together with your idols.” We will have them confront each other, and their idols will say to them, “It is not us that you worshiped.",وَيَوْمَ نَحْشُرُهُمْ جَمِيعًا ثُمَّ نَقُولُ لِلَّذِينَ أَشْرَكُوا۟ مَكَانَكُمْ أَنتُمْ وَشُرَكَآؤُكُمْ ۚ فَزَيَّلْنَا بَيْنَهُمْ ۖ وَقَالَ شُرَكَآؤُهُم مَّا كُنتُمْ إِيَّانَا تَعْبُدُونَ,231,212,"[39.5, 213.551, 242.47, 311.351]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1399,10:29,10,29,109,٢٩:١٠,“GOD suffices as a witness between us and you; we were completely oblivious of your worshiping us.”,فَكَفَىٰ بِٱللَّهِ شَهِيدًۢا بَيْنَنَا وَبَيْنَكُمْ إِن كُنَّا عَنْ عِبَادَتِكُمْ لَغَـٰفِلِينَ,231,212,"[39.7, 319.839, 248.584, 361.3]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1373,10:3,10,3,109,٣:١٠,"Your Lord is GOD; the One who created the heavens and the earth in she days, then assumed all authority. He controls all matters. There is no intercessor, except in accordance with His will. Such is GOD your Lord. You shall worship Him. Would you not take heed?",إِنَّ رَبَّكُمُ ٱللَّهُ ٱلَّذِى خَلَقَ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضَ فِى سِتَّةِ أَيَّامٍ ثُمَّ ٱسْتَوَىٰ عَلَى ٱلْعَرْشِ ۖ يُدَبِّرُ ٱلْأَمْرَ ۖ مَا مِن شَفِيعٍ إِلَّا مِنۢ بَعْدِ إِذْنِهِۦ ۚ ذَٰلِكُمُ ٱللَّهُ رَبُّكُمْ فَٱعْبُدُوهُ ۚ أَفَلَا تَذَكَّرُونَ,227,208,"[40.2, 247.14, 244.936, 347.849]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1400,10:30,10,30,109,٣٠:١٠,"That is when each soul will examine everything it had done. They will be returned to GOD, their rightful Lord and Master, while the idols they had fabricated will disown them.",هُنَالِكَ تَبْلُوا۟ كُلُّ نَفْسٍ مَّآ أَسْلَفَتْ ۚ وَرُدُّوٓا۟ إِلَى ٱللَّهِ مَوْلَىٰهُمُ ٱلْحَقِّ ۖ وَضَلَّ عَنْهُم مَّا كَانُوا۟ يَفْتَرُونَ,231,212,"[39.7, 369.801, 250.106, 439.999]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
